ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   13,99.00%,Pierina A. Sanchez,(Democratic),137,AD 77,2025-07-02_13:53:34.924169
ED   13,99.00%,Fernando Cabrera,(Democratic),59,AD 77,2025-07-02_13:53:34.924169
ED   13,99.00%,Bryan Hodge Vasquez,(Democratic),31,AD 77,2025-07-02_13:53:34.924169
ED   13,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-07-02_13:53:34.924169
ED   14,99.00%,Pierina A. Sanchez,(Democratic),92,AD 77,2025-07-02_13:53:34.924169
ED   14,99.00%,Fernando Cabrera,(Democratic),24,AD 77,2025-07-02_13:53:34.924169
ED   14,99.00%,Bryan Hodge Vasquez,(Democratic),26,AD 77,2025-07-02_13:53:34.924169
ED   14,99.00%,WRITE-IN,&nbsp,2,AD 77,2025-07-02_13:53:34.924169
ED   15,60.00%,Pierina A. Sanchez,(Democratic),7,AD 77,2025-07-02_13:53:34.924169
ED   15,60.00%,Fernando Cabrera,(Democratic),1,AD 77,2025-07-02_13:53:34.924169
ED   15,60.00%,Bryan Hodge Vasquez,(Democratic),1,AD 77,2025-07-02_13:53:34.924169
ED   15,60.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   20,99.00%,Pierina A. Sanchez,(Democratic),40,AD 77,2025-07-02_13:53:34.924169
ED   20,99.00%,Fernando Cabrera,(Democratic),16,AD 77,2025-07-02_13:53:34.924169
ED   20,99.00%,Bryan Hodge Vasquez,(Democratic),9,AD 77,2025-07-02_13:53:34.924169
ED   20,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   21,50.00%,Pierina A. Sanchez,(Democratic),20,AD 77,2025-07-02_13:53:34.924169
ED   21,50.00%,Fernando Cabrera,(Democratic),6,AD 77,2025-07-02_13:53:34.924169
ED   21,50.00%,Bryan Hodge Vasquez,(Democratic),2,AD 77,2025-07-02_13:53:34.924169
ED   21,50.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   22,99.00%,Pierina A. Sanchez,(Democratic),94,AD 77,2025-07-02_13:53:34.924169
ED   22,99.00%,Fernando Cabrera,(Democratic),27,AD 77,2025-07-02_13:53:34.924169
ED   22,99.00%,Bryan Hodge Vasquez,(Democratic),11,AD 77,2025-07-02_13:53:34.924169
ED   22,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   23,99.00%,Pierina A. Sanchez,(Democratic),100,AD 77,2025-07-02_13:53:34.924169
ED   23,99.00%,Fernando Cabrera,(Democratic),57,AD 77,2025-07-02_13:53:34.924169
ED   23,99.00%,Bryan Hodge Vasquez,(Democratic),16,AD 77,2025-07-02_13:53:34.924169
ED   23,99.00%,WRITE-IN,&nbsp,2,AD 77,2025-07-02_13:53:34.924169
ED   24,50.00%,Pierina A. Sanchez,(Democratic),13,AD 77,2025-07-02_13:53:34.924169
ED   24,50.00%,Fernando Cabrera,(Democratic),2,AD 77,2025-07-02_13:53:34.924169
ED   24,50.00%,Bryan Hodge Vasquez,(Democratic),4,AD 77,2025-07-02_13:53:34.924169
ED   24,50.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   25,57.14%,Pierina A. Sanchez,(Democratic),30,AD 77,2025-07-02_13:53:34.924169
ED   25,57.14%,Fernando Cabrera,(Democratic),5,AD 77,2025-07-02_13:53:34.924169
ED   25,57.14%,Bryan Hodge Vasquez,(Democratic),8,AD 77,2025-07-02_13:53:34.924169
ED   25,57.14%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   26,57.14%,Pierina A. Sanchez,(Democratic),28,AD 77,2025-07-02_13:53:34.924169
ED   26,57.14%,Fernando Cabrera,(Democratic),11,AD 77,2025-07-02_13:53:34.924169
ED   26,57.14%,Bryan Hodge Vasquez,(Democratic),8,AD 77,2025-07-02_13:53:34.924169
ED   26,57.14%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   27,99.00%,Pierina A. Sanchez,(Democratic),93,AD 77,2025-07-02_13:53:34.924169
ED   27,99.00%,Fernando Cabrera,(Democratic),24,AD 77,2025-07-02_13:53:34.924169
ED   27,99.00%,Bryan Hodge Vasquez,(Democratic),14,AD 77,2025-07-02_13:53:34.924169
ED   27,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   28,57.14%,Pierina A. Sanchez,(Democratic),33,AD 77,2025-07-02_13:53:34.924169
ED   28,57.14%,Fernando Cabrera,(Democratic),11,AD 77,2025-07-02_13:53:34.924169
ED   28,57.14%,Bryan Hodge Vasquez,(Democratic),8,AD 77,2025-07-02_13:53:34.924169
ED   28,57.14%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   54,99.00%,Pierina A. Sanchez,(Democratic),0,AD 77,2025-07-02_13:53:34.924169
ED   54,99.00%,Fernando Cabrera,(Democratic),0,AD 77,2025-07-02_13:53:34.924169
ED   54,99.00%,Bryan Hodge Vasquez,(Democratic),0,AD 77,2025-07-02_13:53:34.924169
ED   54,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   57,99.00%,Pierina A. Sanchez,(Democratic),0,AD 77,2025-07-02_13:53:34.924169
ED   57,99.00%,Fernando Cabrera,(Democratic),0,AD 77,2025-07-02_13:53:34.924169
ED   57,99.00%,Bryan Hodge Vasquez,(Democratic),0,AD 77,2025-07-02_13:53:34.924169
ED   57,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:34.924169
ED   59,99.00%,Pierina A. Sanchez,(Democratic),0,AD 77,2025-07-02_13:53:34.924169
