boro,reported,candidate,party,votes,scrape_time
Queens,95.10%,David Aiken,(Democratic),1465,2025-07-02_13:53:39.688336
Queens,95.10%,Shanel Thomas-Henry,(Democratic),2257,2025-07-02_13:53:39.688336
Queens,95.10%,Erycka Montoya,(Democratic),1848,2025-07-02_13:53:39.688336
Queens,95.10%,Yanna M. Henriquez,(Democratic),1678,2025-07-02_13:53:39.688336
Queens,95.10%,WRITE-IN,,55,2025-07-02_13:53:39.688336
Total,,David Aiken,(Democratic),1465,2025-07-02_13:53:39.688336
Total,,Shanel Thomas-Henry,(Democratic),2257,2025-07-02_13:53:39.688336
Total,,Erycka Montoya,(Democratic),1848,2025-07-02_13:53:39.688336
Total,,Yanna M. Henriquez,(Democratic),1678,2025-07-02_13:53:39.688336
Total,,WRITE-IN,,55,2025-07-02_13:53:39.688336
