AD_num,reported,candidate,party,votes,scrape_time
AD   65,99.00%,Andrea Gordillo,(Democratic),858,2025-07-02_13:53:23.849301
AD   65,99.00%,Sarah Batchu,(Democratic),624,2025-07-02_13:53:23.849301
AD   65,99.00%,Allie Ryan,(Democratic),138,2025-07-02_13:53:23.849301
AD   65,99.00%,Anthony D. Weiner,(Democratic),269,2025-07-02_13:53:23.849301
AD   65,99.00%,Harvey D. Epstein,(Democratic),1205,2025-07-02_13:53:23.849301
AD   65,99.00%,WRITE-IN,,13,2025-07-02_13:53:23.849301
AD   66,99.00%,Andrea Gordillo,(Democratic),2218,2025-07-02_13:53:23.849301
AD   66,99.00%,Sarah Batchu,(Democratic),2535,2025-07-02_13:53:23.849301
AD   66,99.00%,Allie Ryan,(Democratic),1040,2025-07-02_13:53:23.849301
AD   66,99.00%,Anthony D. Weiner,(Democratic),1278,2025-07-02_13:53:23.849301
AD   66,99.00%,Harvey D. Epstein,(Democratic),3836,2025-07-02_13:53:23.849301
AD   66,99.00%,WRITE-IN,,39,2025-07-02_13:53:23.849301
AD   73,40.00%,Andrea Gordillo,(Democratic),0,2025-07-02_13:53:23.849301
AD   73,40.00%,Sarah Batchu,(Democratic),0,2025-07-02_13:53:23.849301
AD   73,40.00%,Allie Ryan,(Democratic),0,2025-07-02_13:53:23.849301
AD   73,40.00%,Anthony D. Weiner,(Democratic),0,2025-07-02_13:53:23.849301
AD   73,40.00%,Harvey D. Epstein,(Democratic),0,2025-07-02_13:53:23.849301
AD   73,40.00%,WRITE-IN,,0,2025-07-02_13:53:23.849301
AD   74,94.67%,Andrea Gordillo,(Democratic),2463,2025-07-02_13:53:23.849301
AD   74,94.67%,Sarah Batchu,(Democratic),2415,2025-07-02_13:53:23.849301
AD   74,94.67%,Allie Ryan,(Democratic),869,2025-07-02_13:53:23.849301
AD   74,94.67%,Anthony D. Weiner,(Democratic),1149,2025-07-02_13:53:23.849301
AD   74,94.67%,Harvey D. Epstein,(Democratic),5216,2025-07-02_13:53:23.849301
AD   74,94.67%,WRITE-IN,,63,2025-07-02_13:53:23.849301
AD   75,99.00%,Andrea Gordillo,(Democratic),27,2025-07-02_13:53:23.849301
AD   75,99.00%,Sarah Batchu,(Democratic),22,2025-07-02_13:53:23.849301
AD   75,99.00%,Allie Ryan,(Democratic),10,2025-07-02_13:53:23.849301
AD   75,99.00%,Anthony D. Weiner,(Democratic),28,2025-07-02_13:53:23.849301
AD   75,99.00%,Harvey D. Epstein,(Democratic),22,2025-07-02_13:53:23.849301
AD   75,99.00%,WRITE-IN,,0,2025-07-02_13:53:23.849301
Total,,Andrea Gordillo,(Democratic),5566,2025-07-02_13:53:23.849301
Total,,Sarah Batchu,(Democratic),5596,2025-07-02_13:53:23.849301
Total,,Allie Ryan,(Democratic),2057,2025-07-02_13:53:23.849301
Total,,Anthony D. Weiner,(Democratic),2724,2025-07-02_13:53:23.849301
Total,,Harvey D. Epstein,(Democratic),10279,2025-07-02_13:53:23.849301
Total,,WRITE-IN,,115,2025-07-02_13:53:23.849301
