boro,reported,candidate,party,votes,scrape_time
New York,96.49%,Andrea Gordillo,(Democratic),5566,2025-07-02_13:53:23.849301
New York,96.49%,Sarah Batchu,(Democratic),5596,2025-07-02_13:53:23.849301
New York,96.49%,Allie Ryan,(Democratic),2057,2025-07-02_13:53:23.849301
New York,96.49%,Anthony D. Weiner,(Democratic),2724,2025-07-02_13:53:23.849301
New York,96.49%,Harvey D. Epstein,(Democratic),10279,2025-07-02_13:53:23.849301
New York,96.49%,WRITE-IN,,115,2025-07-02_13:53:23.849301
Total,,Andrea Gordillo,(Democratic),5566,2025-07-02_13:53:23.849301
Total,,Sarah Batchu,(Democratic),5596,2025-07-02_13:53:23.849301
Total,,Allie Ryan,(Democratic),2057,2025-07-02_13:53:23.849301
Total,,Anthony D. Weiner,(Democratic),2724,2025-07-02_13:53:23.849301
Total,,Harvey D. Epstein,(Democratic),10279,2025-07-02_13:53:23.849301
Total,,WRITE-IN,,115,2025-07-02_13:53:23.849301
