ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   39,99.00%,Andrea Gordillo,(Democratic),41,AD 65,2025-07-02_13:53:23.849301
ED   39,99.00%,Sarah Batchu,(Democratic),14,AD 65,2025-07-02_13:53:23.849301
ED   39,99.00%,Allie Ryan,(Democratic),4,AD 65,2025-07-02_13:53:23.849301
ED   39,99.00%,Anthony D. Weiner,(Democratic),8,AD 65,2025-07-02_13:53:23.849301
ED   39,99.00%,Harvey D. Epstein,(Democratic),40,AD 65,2025-07-02_13:53:23.849301
ED   39,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:23.849301
ED   57,99.00%,Andrea Gordillo,(Democratic),126,AD 65,2025-07-02_13:53:23.849301
ED   57,99.00%,Sarah Batchu,(Democratic),127,AD 65,2025-07-02_13:53:23.849301
ED   57,99.00%,Allie Ryan,(Democratic),37,AD 65,2025-07-02_13:53:23.849301
ED   57,99.00%,Anthony D. Weiner,(Democratic),44,AD 65,2025-07-02_13:53:23.849301
ED   57,99.00%,Harvey D. Epstein,(Democratic),237,AD 65,2025-07-02_13:53:23.849301
ED   57,99.00%,WRITE-IN,&nbsp,4,AD 65,2025-07-02_13:53:23.849301
ED   58,99.00%,Andrea Gordillo,(Democratic),92,AD 65,2025-07-02_13:53:23.849301
ED   58,99.00%,Sarah Batchu,(Democratic),95,AD 65,2025-07-02_13:53:23.849301
ED   58,99.00%,Allie Ryan,(Democratic),20,AD 65,2025-07-02_13:53:23.849301
ED   58,99.00%,Anthony D. Weiner,(Democratic),20,AD 65,2025-07-02_13:53:23.849301
ED   58,99.00%,Harvey D. Epstein,(Democratic),112,AD 65,2025-07-02_13:53:23.849301
ED   58,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:23.849301
ED   59,99.00%,Andrea Gordillo,(Democratic),95,AD 65,2025-07-02_13:53:23.849301
ED   59,99.00%,Sarah Batchu,(Democratic),58,AD 65,2025-07-02_13:53:23.849301
ED   59,99.00%,Allie Ryan,(Democratic),20,AD 65,2025-07-02_13:53:23.849301
ED   59,99.00%,Anthony D. Weiner,(Democratic),16,AD 65,2025-07-02_13:53:23.849301
ED   59,99.00%,Harvey D. Epstein,(Democratic),165,AD 65,2025-07-02_13:53:23.849301
ED   59,99.00%,WRITE-IN,&nbsp,1,AD 65,2025-07-02_13:53:23.849301
ED   60,99.00%,Andrea Gordillo,(Democratic),134,AD 65,2025-07-02_13:53:23.849301
ED   60,99.00%,Sarah Batchu,(Democratic),70,AD 65,2025-07-02_13:53:23.849301
ED   60,99.00%,Allie Ryan,(Democratic),17,AD 65,2025-07-02_13:53:23.849301
ED   60,99.00%,Anthony D. Weiner,(Democratic),16,AD 65,2025-07-02_13:53:23.849301
ED   60,99.00%,Harvey D. Epstein,(Democratic),132,AD 65,2025-07-02_13:53:23.849301
ED   60,99.00%,WRITE-IN,&nbsp,2,AD 65,2025-07-02_13:53:23.849301
ED   61,99.00%,Andrea Gordillo,(Democratic),52,AD 65,2025-07-02_13:53:23.849301
ED   61,99.00%,Sarah Batchu,(Democratic),34,AD 65,2025-07-02_13:53:23.849301
ED   61,99.00%,Allie Ryan,(Democratic),4,AD 65,2025-07-02_13:53:23.849301
ED   61,99.00%,Anthony D. Weiner,(Democratic),24,AD 65,2025-07-02_13:53:23.849301
ED   61,99.00%,Harvey D. Epstein,(Democratic),52,AD 65,2025-07-02_13:53:23.849301
ED   61,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:23.849301
ED   62,99.00%,Andrea Gordillo,(Democratic),46,AD 65,2025-07-02_13:53:23.849301
ED   62,99.00%,Sarah Batchu,(Democratic),37,AD 65,2025-07-02_13:53:23.849301
ED   62,99.00%,Allie Ryan,(Democratic),8,AD 65,2025-07-02_13:53:23.849301
ED   62,99.00%,Anthony D. Weiner,(Democratic),40,AD 65,2025-07-02_13:53:23.849301
ED   62,99.00%,Harvey D. Epstein,(Democratic),96,AD 65,2025-07-02_13:53:23.849301
ED   62,99.00%,WRITE-IN,&nbsp,1,AD 65,2025-07-02_13:53:23.849301
ED   63,99.00%,Andrea Gordillo,(Democratic),53,AD 65,2025-07-02_13:53:23.849301
ED   63,99.00%,Sarah Batchu,(Democratic),39,AD 65,2025-07-02_13:53:23.849301
ED   63,99.00%,Allie Ryan,(Democratic),5,AD 65,2025-07-02_13:53:23.849301
ED   63,99.00%,Anthony D. Weiner,(Democratic),36,AD 65,2025-07-02_13:53:23.849301
ED   63,99.00%,Harvey D. Epstein,(Democratic),93,AD 65,2025-07-02_13:53:23.849301
ED   63,99.00%,WRITE-IN,&nbsp,2,AD 65,2025-07-02_13:53:23.849301
ED   64,99.00%,Andrea Gordillo,(Democratic),103,AD 65,2025-07-02_13:53:23.849301
ED   64,99.00%,Sarah Batchu,(Democratic),68,AD 65,2025-07-02_13:53:23.849301
ED   64,99.00%,Allie Ryan,(Democratic),18,AD 65,2025-07-02_13:53:23.849301
ED   64,99.00%,Anthony D. Weiner,(Democratic),29,AD 65,2025-07-02_13:53:23.849301
ED   64,99.00%,Harvey D. Epstein,(Democratic),176,AD 65,2025-07-02_13:53:23.849301
ED   64,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:23.849301
ED   65,99.00%,Andrea Gordillo,(Democratic),55,AD 65,2025-07-02_13:53:23.849301
ED   65,99.00%,Sarah Batchu,(Democratic),46,AD 65,2025-07-02_13:53:23.849301
ED   65,99.00%,Allie Ryan,(Democratic),1,AD 65,2025-07-02_13:53:23.849301
ED   65,99.00%,Anthony D. Weiner,(Democratic),14,AD 65,2025-07-02_13:53:23.849301
ED   65,99.00%,Harvey D. Epstein,(Democratic),52,AD 65,2025-07-02_13:53:23.849301
ED   65,99.00%,WRITE-IN,&nbsp,2,AD 65,2025-07-02_13:53:23.849301
ED   66,99.00%,Andrea Gordillo,(Democratic),61,AD 65,2025-07-02_13:53:23.849301
ED   66,99.00%,Sarah Batchu,(Democratic),36,AD 65,2025-07-02_13:53:23.849301
ED   66,99.00%,Allie Ryan,(Democratic),4,AD 65,2025-07-02_13:53:23.849301
ED   66,99.00%,Anthony D. Weiner,(Democratic),22,AD 65,2025-07-02_13:53:23.849301
ED   66,99.00%,Harvey D. Epstein,(Democratic),50,AD 65,2025-07-02_13:53:23.849301
ED   66,99.00%,WRITE-IN,&nbsp,1,AD 65,2025-07-02_13:53:23.849301
Total,,Andrea Gordillo,(Democratic),858,AD 65,2025-07-02_13:53:23.849301
Total,,Sarah Batchu,(Democratic),624,AD 65,2025-07-02_13:53:23.849301
Total,,Allie Ryan,(Democratic),138,AD 65,2025-07-02_13:53:23.849301
Total,,Anthony D. Weiner,(Democratic),269,AD 65,2025-07-02_13:53:23.849301
Total,,Harvey D. Epstein,(Democratic),1205,AD 65,2025-07-02_13:53:23.849301
Total,,WRITE-IN,&nbsp,13,AD 65,2025-07-02_13:53:23.849301
ED    6,99.00%,Andrea Gordillo,(Democratic),57,AD 66,2025-07-02_13:53:23.849301
ED    6,99.00%,Sarah Batchu,(Democratic),83,AD 66,2025-07-02_13:53:23.849301
ED    6,99.00%,Allie Ryan,(Democratic),33,AD 66,2025-07-02_13:53:23.849301
ED    6,99.00%,Anthony D. Weiner,(Democratic),68,AD 66,2025-07-02_13:53:23.849301
ED    6,99.00%,Harvey D. Epstein,(Democratic),154,AD 66,2025-07-02_13:53:23.849301
ED    6,99.00%,WRITE-IN,&nbsp,2,AD 66,2025-07-02_13:53:23.849301
ED    7,99.00%,Andrea Gordillo,(Democratic),55,AD 66,2025-07-02_13:53:23.849301
ED    7,99.00%,Sarah Batchu,(Democratic),62,AD 66,2025-07-02_13:53:23.849301
ED    7,99.00%,Allie Ryan,(Democratic),27,AD 66,2025-07-02_13:53:23.849301
ED    7,99.00%,Anthony D. Weiner,(Democratic),52,AD 66,2025-07-02_13:53:23.849301
ED    7,99.00%,Harvey D. Epstein,(Democratic),120,AD 66,2025-07-02_13:53:23.849301
ED    7,99.00%,WRITE-IN,&nbsp,0,AD 66,2025-07-02_13:53:23.849301
ED   24,99.00%,Andrea Gordillo,(Democratic),61,AD 66,2025-07-02_13:53:23.849301
ED   24,99.00%,Sarah Batchu,(Democratic),86,AD 66,2025-07-02_13:53:23.849301
ED   24,99.00%,Allie Ryan,(Democratic),45,AD 66,2025-07-02_13:53:23.849301
ED   24,99.00%,Anthony D. Weiner,(Democratic),75,AD 66,2025-07-02_13:53:23.849301
ED   24,99.00%,Harvey D. Epstein,(Democratic),138,AD 66,2025-07-02_13:53:23.849301
ED   24,99.00%,WRITE-IN,&nbsp,3,AD 66,2025-07-02_13:53:23.849301
ED   26,99.00%,Andrea Gordillo,(Democratic),39,AD 66,2025-07-02_13:53:23.849301
ED   26,99.00%,Sarah Batchu,(Democratic),113,AD 66,2025-07-02_13:53:23.849301
ED   26,99.00%,Allie Ryan,(Democratic),18,AD 66,2025-07-02_13:53:23.849301
ED   26,99.00%,Anthony D. Weiner,(Democratic),51,AD 66,2025-07-02_13:53:23.849301
ED   26,99.00%,Harvey D. Epstein,(Democratic),110,AD 66,2025-07-02_13:53:23.849301
ED   26,99.00%,WRITE-IN,&nbsp,2,AD 66,2025-07-02_13:53:23.849301
ED   28,99.00%,Andrea Gordillo,(Democratic),60,AD 66,2025-07-02_13:53:23.849301
ED   28,99.00%,Sarah Batchu,(Democratic),88,AD 66,2025-07-02_13:53:23.849301
ED   28,99.00%,Allie Ryan,(Democratic),42,AD 66,2025-07-02_13:53:23.849301
ED   28,99.00%,Anthony D. Weiner,(Democratic),49,AD 66,2025-07-02_13:53:23.849301
ED   28,99.00%,Harvey D. Epstein,(Democratic),118,AD 66,2025-07-02_13:53:23.849301
ED   28,99.00%,WRITE-IN,&nbsp,1,AD 66,2025-07-02_13:53:23.849301
ED   30,99.00%,Andrea Gordillo,(Democratic),34,AD 66,2025-07-02_13:53:23.849301
ED   30,99.00%,Sarah Batchu,(Democratic),57,AD 66,2025-07-02_13:53:23.849301
ED   30,99.00%,Allie Ryan,(Democratic),37,AD 66,2025-07-02_13:53:23.849301
ED   30,99.00%,Anthony D. Weiner,(Democratic),21,AD 66,2025-07-02_13:53:23.849301
ED   30,99.00%,Harvey D. Epstein,(Democratic),61,AD 66,2025-07-02_13:53:23.849301
ED   30,99.00%,WRITE-IN,&nbsp,2,AD 66,2025-07-02_13:53:23.849301
ED   34,99.00%,Andrea Gordillo,(Democratic),44,AD 66,2025-07-02_13:53:23.849301
ED   34,99.00%,Sarah Batchu,(Democratic),70,AD 66,2025-07-02_13:53:23.849301
ED   34,99.00%,Allie Ryan,(Democratic),27,AD 66,2025-07-02_13:53:23.849301
ED   34,99.00%,Anthony D. Weiner,(Democratic),47,AD 66,2025-07-02_13:53:23.849301
ED   34,99.00%,Harvey D. Epstein,(Democratic),99,AD 66,2025-07-02_13:53:23.849301
ED   34,99.00%,WRITE-IN,&nbsp,0,AD 66,2025-07-02_13:53:23.849301
ED   35,99.00%,Andrea Gordillo,(Democratic),67,AD 66,2025-07-02_13:53:23.849301
ED   35,99.00%,Sarah Batchu,(Democratic),68,AD 66,2025-07-02_13:53:23.849301
ED   35,99.00%,Allie Ryan,(Democratic),52,AD 66,2025-07-02_13:53:23.849301
ED   35,99.00%,Anthony D. Weiner,(Democratic),49,AD 66,2025-07-02_13:53:23.849301
