boro,reported,candidate,party,votes,scrape_time
Kings,99.00%,Crystal Hudson,(Democratic),32560,2025-07-02_13:53:45.062195
Kings,99.00%,Hector Robertson,(Democratic),1758,2025-07-02_13:53:45.062195
Kings,99.00%,Kenny Lever,(Democratic),857,2025-07-02_13:53:45.062195
Kings,99.00%,Dion M. Ashman,(Democratic),3066,2025-07-02_13:53:45.062195
Kings,99.00%,WRITE-IN,,213,2025-07-02_13:53:45.062195
Total,,Crystal Hudson,(Democratic),32560,2025-07-02_13:53:45.062195
Total,,Hector Robertson,(Democratic),1758,2025-07-02_13:53:45.062195
Total,,Kenny Lever,(Democratic),857,2025-07-02_13:53:45.062195
Total,,Dion M. Ashman,(Democratic),3066,2025-07-02_13:53:45.062195
Total,,WRITE-IN,,213,2025-07-02_13:53:45.062195
