AD_num,reported,candidate,party,votes,scrape_time
AD   66,99.00%,Jacqueline Lara,(Democratic),1795,2025-07-02_13:53:25.321675
AD   66,99.00%,Erik D. Bottcher,(Democratic),6172,2025-07-02_13:53:25.321675
AD   66,99.00%,WRITE-IN,,54,2025-07-02_13:53:25.321675
AD   67,99.00%,Jacqueline Lara,(Democratic),967,2025-07-02_13:53:25.321675
AD   67,99.00%,Erik D. Bottcher,(Democratic),2414,2025-07-02_13:53:25.321675
AD   67,99.00%,WRITE-IN,,19,2025-07-02_13:53:25.321675
AD   74,99.00%,Jacqueline Lara,(Democratic),33,2025-07-02_13:53:25.321675
AD   74,99.00%,Erik D. Bottcher,(Democratic),50,2025-07-02_13:53:25.321675
AD   74,99.00%,WRITE-IN,,0,2025-07-02_13:53:25.321675
AD   75,96.05%,Jacqueline Lara,(Democratic),4261,2025-07-02_13:53:25.321675
AD   75,96.05%,Erik D. Bottcher,(Democratic),11914,2025-07-02_13:53:25.321675
AD   75,96.05%,WRITE-IN,,107,2025-07-02_13:53:25.321675
Total,,Jacqueline Lara,(Democratic),7056,2025-07-02_13:53:25.321675
Total,,Erik D. Bottcher,(Democratic),20550,2025-07-02_13:53:25.321675
Total,,WRITE-IN,,180,2025-07-02_13:53:25.321675
