ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Jacqueline Lara,(Democratic),1,AD 66,2025-07-02_13:53:25.321675
ED    1,99.00%,Erik D. Bottcher,(Democratic),2,AD 66,2025-07-02_13:53:25.321675
ED    1,99.00%,WRITE-IN,&nbsp,0,AD 66,2025-07-02_13:53:25.321675
ED    2,99.00%,Jacqueline Lara,(Democratic),77,AD 66,2025-07-02_13:53:25.321675
ED    2,99.00%,Erik D. Bottcher,(Democratic),208,AD 66,2025-07-02_13:53:25.321675
ED    2,99.00%,WRITE-IN,&nbsp,2,AD 66,2025-07-02_13:53:25.321675
ED    3,99.00%,Jacqueline Lara,(Democratic),71,AD 66,2025-07-02_13:53:25.321675
ED    3,99.00%,Erik D. Bottcher,(Democratic),212,AD 66,2025-07-02_13:53:25.321675
ED    3,99.00%,WRITE-IN,&nbsp,2,AD 66,2025-07-02_13:53:25.321675
ED    4,99.00%,Jacqueline Lara,(Democratic),88,AD 66,2025-07-02_13:53:25.321675
ED    4,99.00%,Erik D. Bottcher,(Democratic),414,AD 66,2025-07-02_13:53:25.321675
ED    4,99.00%,WRITE-IN,&nbsp,4,AD 66,2025-07-02_13:53:25.321675
ED    5,99.00%,Jacqueline Lara,(Democratic),75,AD 66,2025-07-02_13:53:25.321675
ED    5,99.00%,Erik D. Bottcher,(Democratic),252,AD 66,2025-07-02_13:53:25.321675
ED    5,99.00%,WRITE-IN,&nbsp,1,AD 66,2025-07-02_13:53:25.321675
ED    8,99.00%,Jacqueline Lara,(Democratic),59,AD 66,2025-07-02_13:53:25.321675
ED    8,99.00%,Erik D. Bottcher,(Democratic),265,AD 66,2025-07-02_13:53:25.321675
ED    8,99.00%,WRITE-IN,&nbsp,2,AD 66,2025-07-02_13:53:25.321675
ED    9,99.00%,Jacqueline Lara,(Democratic),53,AD 66,2025-07-02_13:53:25.321675
ED    9,99.00%,Erik D. Bottcher,(Democratic),331,AD 66,2025-07-02_13:53:25.321675
ED    9,99.00%,WRITE-IN,&nbsp,3,AD 66,2025-07-02_13:53:25.321675
ED   10,99.00%,Jacqueline Lara,(Democratic),65,AD 66,2025-07-02_13:53:25.321675
ED   10,99.00%,Erik D. Bottcher,(Democratic),267,AD 66,2025-07-02_13:53:25.321675
ED   10,99.00%,WRITE-IN,&nbsp,3,AD 66,2025-07-02_13:53:25.321675
ED   11,99.00%,Jacqueline Lara,(Democratic),76,AD 66,2025-07-02_13:53:25.321675
ED   11,99.00%,Erik D. Bottcher,(Democratic),272,AD 66,2025-07-02_13:53:25.321675
ED   11,99.00%,WRITE-IN,&nbsp,1,AD 66,2025-07-02_13:53:25.321675
ED   12,99.00%,Jacqueline Lara,(Democratic),103,AD 66,2025-07-02_13:53:25.321675
ED   12,99.00%,Erik D. Bottcher,(Democratic),291,AD 66,2025-07-02_13:53:25.321675
ED   12,99.00%,WRITE-IN,&nbsp,0,AD 66,2025-07-02_13:53:25.321675
ED   14,99.00%,Jacqueline Lara,(Democratic),84,AD 66,2025-07-02_13:53:25.321675
ED   14,99.00%,Erik D. Bottcher,(Democratic),277,AD 66,2025-07-02_13:53:25.321675
ED   14,99.00%,WRITE-IN,&nbsp,4,AD 66,2025-07-02_13:53:25.321675
ED   15,99.00%,Jacqueline Lara,(Democratic),86,AD 66,2025-07-02_13:53:25.321675
ED   15,99.00%,Erik D. Bottcher,(Democratic),309,AD 66,2025-07-02_13:53:25.321675
ED   15,99.00%,WRITE-IN,&nbsp,1,AD 66,2025-07-02_13:53:25.321675
ED   16,99.00%,Jacqueline Lara,(Democratic),96,AD 66,2025-07-02_13:53:25.321675
ED   16,99.00%,Erik D. Bottcher,(Democratic),343,AD 66,2025-07-02_13:53:25.321675
ED   16,99.00%,WRITE-IN,&nbsp,5,AD 66,2025-07-02_13:53:25.321675
