boro,reported,candidate,party,votes,scrape_time
Kings,99.00%,Jammel Thompson,(Democratic),2057,2025-07-02_13:53:49.940007
Kings,99.00%,Lawman Lynch,(Democratic),2384,2025-07-02_13:53:49.940007
Kings,99.00%,Jamell Henderson,(Democratic),919,2025-07-02_13:53:49.940007
Kings,99.00%,Eli Brown,(Democratic),553,2025-07-02_13:53:49.940007
Kings,99.00%,Clifton A. Hinton,(Democratic),163,2025-07-02_13:53:49.940007
Kings,99.00%,Darlene Mealy,(Democratic),6603,2025-07-02_13:53:49.940007
Kings,99.00%,Bianca Cunningham,(Democratic),1929,2025-07-02_13:53:49.940007
Kings,99.00%,Dante Arnwine,(Democratic),599,2025-07-02_13:53:49.940007
Kings,99.00%,WRITE-IN,,64,2025-07-02_13:53:49.940007
Total,,Jammel Thompson,(Democratic),2057,2025-07-02_13:53:49.940007
Total,,Lawman Lynch,(Democratic),2384,2025-07-02_13:53:49.940007
Total,,Jamell Henderson,(Democratic),919,2025-07-02_13:53:49.940007
Total,,Eli Brown,(Democratic),553,2025-07-02_13:53:49.940007
Total,,Clifton A. Hinton,(Democratic),163,2025-07-02_13:53:49.940007
Total,,Darlene Mealy,(Democratic),6603,2025-07-02_13:53:49.940007
Total,,Bianca Cunningham,(Democratic),1929,2025-07-02_13:53:49.940007
Total,,Dante Arnwine,(Democratic),599,2025-07-02_13:53:49.940007
Total,,WRITE-IN,,64,2025-07-02_13:53:49.940007
