AD_num,reported,candidate,party,votes,scrape_time
AD   61,93.85%,Abou S. Diakhate,(Democratic),1089,2025-07-02_13:53:53.669539
AD   61,93.85%,Telee N. Brown,(Democratic),726,2025-07-02_13:53:53.669539
AD   61,93.85%,Sarah Blas,(Democratic),1063,2025-07-02_13:53:53.669539
AD   61,93.85%,Kamillah M. Hanks,(Democratic),4029,2025-07-02_13:53:53.669539
AD   61,93.85%,WRITE-IN,,95,2025-07-02_13:53:53.669539
AD   63,94.92%,Abou S. Diakhate,(Democratic),728,2025-07-02_13:53:53.669539
AD   63,94.92%,Telee N. Brown,(Democratic),293,2025-07-02_13:53:53.669539
AD   63,94.92%,Sarah Blas,(Democratic),658,2025-07-02_13:53:53.669539
AD   63,94.92%,Kamillah M. Hanks,(Democratic),2623,2025-07-02_13:53:53.669539
AD   63,94.92%,WRITE-IN,,81,2025-07-02_13:53:53.669539
AD   64,99.00%,Abou S. Diakhate,(Democratic),9,2025-07-02_13:53:53.669539
AD   64,99.00%,Telee N. Brown,(Democratic),7,2025-07-02_13:53:53.669539
AD   64,99.00%,Sarah Blas,(Democratic),13,2025-07-02_13:53:53.669539
AD   64,99.00%,Kamillah M. Hanks,(Democratic),54,2025-07-02_13:53:53.669539
AD   64,99.00%,WRITE-IN,,3,2025-07-02_13:53:53.669539
Total,,Abou S. Diakhate,(Democratic),1826,2025-07-02_13:53:53.669539
Total,,Telee N. Brown,(Democratic),1026,2025-07-02_13:53:53.669539
Total,,Sarah Blas,(Democratic),1734,2025-07-02_13:53:53.669539
Total,,Kamillah M. Hanks,(Democratic),6706,2025-07-02_13:53:53.669539
Total,,WRITE-IN,,179,2025-07-02_13:53:53.669539
