AD_num,reported,candidate,party,votes,scrape_time
AD   62,99.00%,Frank Morano,(Republican),2571,2025-07-02_13:54:32.04045
AD   62,99.00%,Griffin T. Fossella,(Republican),256,2025-07-02_13:54:32.04045
AD   62,99.00%,John K. Buthorn,(Republican),265,2025-07-02_13:54:32.04045
AD   62,99.00%,WRITE-IN,,20,2025-07-02_13:54:32.04045
AD   63,99.00%,Frank Morano,(Republican),306,2025-07-02_13:54:32.04045
AD   63,99.00%,Griffin T. Fossella,(Republican),45,2025-07-02_13:54:32.04045
AD   63,99.00%,John K. Buthorn,(Republican),23,2025-07-02_13:54:32.04045
AD   63,99.00%,WRITE-IN,,0,2025-07-02_13:54:32.04045
AD   64,99.00%,Frank Morano,(Republican),394,2025-07-02_13:54:32.04045
AD   64,99.00%,Griffin T. Fossella,(Republican),65,2025-07-02_13:54:32.04045
AD   64,99.00%,John K. Buthorn,(Republican),33,2025-07-02_13:54:32.04045
AD   64,99.00%,WRITE-IN,,2,2025-07-02_13:54:32.04045
Total,,Frank Morano,(Republican),3271,2025-07-02_13:54:32.04045
Total,,Griffin T. Fossella,(Republican),366,2025-07-02_13:54:32.04045
Total,,John K. Buthorn,(Republican),321,2025-07-02_13:54:32.04045
Total,,WRITE-IN,,22,2025-07-02_13:54:32.04045
