ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Frank Morano,(Republican),56,AD 62,2025-07-02_13:54:32.04045
ED    1,99.00%,Griffin T. Fossella,(Republican),4,AD 62,2025-07-02_13:54:32.04045
ED    1,99.00%,John K. Buthorn,(Republican),1,AD 62,2025-07-02_13:54:32.04045
ED    1,99.00%,WRITE-IN,&nbsp,1,AD 62,2025-07-02_13:54:32.04045
ED    2,99.00%,Frank Morano,(Republican),87,AD 62,2025-07-02_13:54:32.04045
ED    2,99.00%,Griffin T. Fossella,(Republican),4,AD 62,2025-07-02_13:54:32.04045
ED    2,99.00%,John K. Buthorn,(Republican),4,AD 62,2025-07-02_13:54:32.04045
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 62,2025-07-02_13:54:32.04045
ED    3,99.00%,Frank Morano,(Republican),63,AD 62,2025-07-02_13:54:32.04045
ED    3,99.00%,Griffin T. Fossella,(Republican),1,AD 62,2025-07-02_13:54:32.04045
ED    3,99.00%,John K. Buthorn,(Republican),5,AD 62,2025-07-02_13:54:32.04045
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 62,2025-07-02_13:54:32.04045
ED    4,99.00%,Frank Morano,(Republican),44,AD 62,2025-07-02_13:54:32.04045
ED    4,99.00%,Griffin T. Fossella,(Republican),3,AD 62,2025-07-02_13:54:32.04045
ED    4,99.00%,John K. Buthorn,(Republican),3,AD 62,2025-07-02_13:54:32.04045
ED    4,99.00%,WRITE-IN,&nbsp,0,AD 62,2025-07-02_13:54:32.04045
ED    5,99.00%,Frank Morano,(Republican),70,AD 62,2025-07-02_13:54:32.04045
ED    5,99.00%,Griffin T. Fossella,(Republican),5,AD 62,2025-07-02_13:54:32.04045
ED    5,99.00%,John K. Buthorn,(Republican),8,AD 62,2025-07-02_13:54:32.04045
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 62,2025-07-02_13:54:32.04045
ED    6,99.00%,Frank Morano,(Republican),54,AD 62,2025-07-02_13:54:32.04045
ED    6,99.00%,Griffin T. Fossella,(Republican),4,AD 62,2025-07-02_13:54:32.04045
ED    6,99.00%,John K. Buthorn,(Republican),7,AD 62,2025-07-02_13:54:32.04045
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 62,2025-07-02_13:54:32.04045
ED    7,99.00%,Frank Morano,(Republican),67,AD 62,2025-07-02_13:54:32.04045
ED    7,99.00%,Griffin T. Fossella,(Republican),4,AD 62,2025-07-02_13:54:32.04045
ED    7,99.00%,John K. Buthorn,(Republican),8,AD 62,2025-07-02_13:54:32.04045
ED    7,99.00%,WRITE-IN,&nbsp,0,AD 62,2025-07-02_13:54:32.04045
ED    8,99.00%,Frank Morano,(Republican),50,AD 62,2025-07-02_13:54:32.04045
ED    8,99.00%,Griffin T. Fossella,(Republican),6,AD 62,2025-07-02_13:54:32.04045
