AD_num,reported,candidate,party,votes,scrape_time
AD   23,97.71%,Kamala D. Harris Tim Walz,(Democratic),18059,2024-11-13_13:12:12.569214
AD   23,97.71%,Donald J. Trump JD Vance,(Republican),23710,2024-11-13_13:12:12.569214
AD   23,97.71%,Donald J. Trump JD Vance,(Conservative),1732,2024-11-13_13:12:12.569214
AD   23,97.71%,Kamala D. Harris Tim Walz,(Working Families),883,2024-11-13_13:12:12.569214
AD   23,97.71%,WRITE-IN,,605,2024-11-13_13:12:12.569214
AD   24,96.80%,Kamala D. Harris Tim Walz,(Democratic),20960,2024-11-13_13:12:12.569214
AD   24,96.80%,Donald J. Trump JD Vance,(Republican),14077,2024-11-13_13:12:12.569214
AD   24,96.80%,Donald J. Trump JD Vance,(Conservative),843,2024-11-13_13:12:12.569214
AD   24,96.80%,Kamala D. Harris Tim Walz,(Working Families),866,2024-11-13_13:12:12.569214
AD   24,96.80%,WRITE-IN,,1078,2024-11-13_13:12:12.569214
AD   25,98.20%,Kamala D. Harris Tim Walz,(Democratic),14795,2024-11-13_13:12:12.569214
AD   25,98.20%,Donald J. Trump JD Vance,(Republican),14497,2024-11-13_13:12:12.569214
AD   25,98.20%,Donald J. Trump JD Vance,(Conservative),861,2024-11-13_13:12:12.569214
AD   25,98.20%,Kamala D. Harris Tim Walz,(Working Families),790,2024-11-13_13:12:12.569214
AD   25,98.20%,WRITE-IN,,595,2024-11-13_13:12:12.569214
AD   26,97.20%,Kamala D. Harris Tim Walz,(Democratic),23017,2024-11-13_13:12:12.569214
AD   26,97.20%,Donald J. Trump JD Vance,(Republican),20663,2024-11-13_13:12:12.569214
AD   26,97.20%,Donald J. Trump JD Vance,(Conservative),1641,2024-11-13_13:12:12.569214
AD   26,97.20%,Kamala D. Harris Tim Walz,(Working Families),1053,2024-11-13_13:12:12.569214
AD   26,97.20%,WRITE-IN,,680,2024-11-13_13:12:12.569214
AD   27,99.00%,Kamala D. Harris Tim Walz,(Democratic),15645,2024-11-13_13:12:12.569214
AD   27,99.00%,Donald J. Trump JD Vance,(Republican),18526,2024-11-13_13:12:12.569214
AD   27,99.00%,Donald J. Trump JD Vance,(Conservative),1135,2024-11-13_13:12:12.569214
AD   27,99.00%,Kamala D. Harris Tim Walz,(Working Families),876,2024-11-13_13:12:12.569214
AD   27,99.00%,WRITE-IN,,459,2024-11-13_13:12:12.569214
