boro,reported,candidate,party,votes,scrape_time
New York,97.25%,Kamala D. Harris Tim Walz,(Democratic),451419,2024-11-07_14:15:51.581612
New York,97.25%,Donald J. Trump JD Vance,(Republican),96447,2024-11-07_14:15:51.581612
New York,97.25%,Donald J. Trump JD Vance,(Conservative),6681,2024-11-07_14:15:51.581612
New York,97.25%,Kamala D. Harris Tim Walz,(Working Families),30705,2024-11-07_14:15:51.581612
New York,97.25%,WRITE-IN,,11421,2024-11-07_14:15:51.581612
Bronx,97.60%,Kamala D. Harris Tim Walz,(Democratic),234487,2024-11-07_14:15:51.581612
Bronx,97.60%,Donald J. Trump JD Vance,(Republican),85028,2024-11-07_14:15:51.581612
Bronx,97.60%,Donald J. Trump JD Vance,(Conservative),6514,2024-11-07_14:15:51.581612
Bronx,97.60%,Kamala D. Harris Tim Walz,(Working Families),9898,2024-11-07_14:15:51.581612
Bronx,97.60%,WRITE-IN,,3956,2024-11-07_14:15:51.581612
Kings,97.95%,Kamala D. Harris Tim Walz,(Democratic),496323,2024-11-07_14:15:51.581612
Kings,97.95%,Donald J. Trump JD Vance,(Republican),203498,2024-11-07_14:15:51.581612
Kings,97.95%,Donald J. Trump JD Vance,(Conservative),15837,2024-11-07_14:15:51.581612
Kings,97.95%,Kamala D. Harris Tim Walz,(Working Families),55310,2024-11-07_14:15:51.581612
Kings,97.95%,WRITE-IN,,16741,2024-11-07_14:15:51.581612
Queens,97.65%,Kamala D. Harris Tim Walz,(Democratic),378672,2024-11-07_14:15:51.581612
Queens,97.65%,Donald J. Trump JD Vance,(Republican),232702,2024-11-07_14:15:51.581612
Queens,97.65%,Donald J. Trump JD Vance,(Conservative),15322,2024-11-07_14:15:51.581612
Queens,97.65%,Kamala D. Harris Tim Walz,(Working Families),25454,2024-11-07_14:15:51.581612
Queens,97.65%,WRITE-IN,,12722,2024-11-07_14:15:51.581612
Richmond,97.22%,Kamala D. Harris Tim Walz,(Democratic),62722,2024-11-07_14:15:51.581612
Richmond,97.22%,Donald J. Trump JD Vance,(Republican),116388,2024-11-07_14:15:51.581612
Richmond,97.22%,Donald J. Trump JD Vance,(Conservative),7877,2024-11-07_14:15:51.581612
Richmond,97.22%,Kamala D. Harris Tim Walz,(Working Families),3150,2024-11-07_14:15:51.581612
Richmond,97.22%,WRITE-IN,,2901,2024-11-07_14:15:51.581612
Total,,Kamala D. Harris Tim Walz,(Democratic),1623623,2024-11-07_14:15:51.581612
Total,,Donald J. Trump JD Vance,(Republican),734063,2024-11-07_14:15:51.581612
Total,,Donald J. Trump JD Vance,(Conservative),52231,2024-11-07_14:15:51.581612
Total,,Kamala D. Harris Tim Walz,(Working Families),124517,2024-11-07_14:15:51.581612
Total,,WRITE-IN,,47741,2024-11-07_14:15:51.581612
