ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Kamala D. Harris Tim Walz,(Democratic),257,AD 23,2024-11-13_13:12:12.569214
ED    1,99.00%,Donald J. Trump JD Vance,(Republican),826,AD 23,2024-11-13_13:12:12.569214
ED    1,99.00%,Donald J. Trump JD Vance,(Conservative),141,AD 23,2024-11-13_13:12:12.569214
ED    1,99.00%,Kamala D. Harris Tim Walz,(Working Families),12,AD 23,2024-11-13_13:12:12.569214
ED    1,99.00%,WRITE-IN,&nbsp,12,AD 23,2024-11-13_13:12:12.569214
ED    2,99.00%,Kamala D. Harris Tim Walz,(Democratic),240,AD 23,2024-11-13_13:12:12.569214
ED    2,99.00%,Donald J. Trump JD Vance,(Republican),792,AD 23,2024-11-13_13:12:12.569214
ED    2,99.00%,Donald J. Trump JD Vance,(Conservative),115,AD 23,2024-11-13_13:12:12.569214
ED    2,99.00%,Kamala D. Harris Tim Walz,(Working Families),19,AD 23,2024-11-13_13:12:12.569214
ED    2,99.00%,WRITE-IN,&nbsp,11,AD 23,2024-11-13_13:12:12.569214
ED    3,99.00%,Kamala D. Harris Tim Walz,(Democratic),84,AD 23,2024-11-13_13:12:12.569214
ED    3,99.00%,Donald J. Trump JD Vance,(Republican),285,AD 23,2024-11-13_13:12:12.569214
ED    3,99.00%,Donald J. Trump JD Vance,(Conservative),33,AD 23,2024-11-13_13:12:12.569214
ED    3,99.00%,Kamala D. Harris Tim Walz,(Working Families),6,AD 23,2024-11-13_13:12:12.569214
ED    3,99.00%,WRITE-IN,&nbsp,3,AD 23,2024-11-13_13:12:12.569214
ED    4,99.00%,Kamala D. Harris Tim Walz,(Democratic),337,AD 23,2024-11-13_13:12:12.569214
ED    4,99.00%,Donald J. Trump JD Vance,(Republican),771,AD 23,2024-11-13_13:12:12.569214
ED    4,99.00%,Donald J. Trump JD Vance,(Conservative),55,AD 23,2024-11-13_13:12:12.569214
ED    4,99.00%,Kamala D. Harris Tim Walz,(Working Families),15,AD 23,2024-11-13_13:12:12.569214
ED    4,99.00%,WRITE-IN,&nbsp,13,AD 23,2024-11-13_13:12:12.569214
ED    5,99.00%,Kamala D. Harris Tim Walz,(Democratic),290,AD 23,2024-11-13_13:12:12.569214
ED    5,99.00%,Donald J. Trump JD Vance,(Republican),831,AD 23,2024-11-13_13:12:12.569214
ED    5,99.00%,Donald J. Trump JD Vance,(Conservative),56,AD 23,2024-11-13_13:12:12.569214
ED    5,99.00%,Kamala D. Harris Tim Walz,(Working Families),20,AD 23,2024-11-13_13:12:12.569214
ED    5,99.00%,WRITE-IN,&nbsp,10,AD 23,2024-11-13_13:12:12.569214
ED    6,99.00%,Kamala D. Harris Tim Walz,(Democratic),328,AD 23,2024-11-13_13:12:12.569214
ED    6,99.00%,Donald J. Trump JD Vance,(Republican),757,AD 23,2024-11-13_13:12:12.569214
ED    6,99.00%,Donald J. Trump JD Vance,(Conservative),57,AD 23,2024-11-13_13:12:12.569214
ED    6,99.00%,Kamala D. Harris Tim Walz,(Working Families),19,AD 23,2024-11-13_13:12:12.569214
ED    6,99.00%,WRITE-IN,&nbsp,13,AD 23,2024-11-13_13:12:12.569214
ED    7,99.00%,Kamala D. Harris Tim Walz,(Democratic),389,AD 23,2024-11-13_13:12:12.569214
ED    7,99.00%,Donald J. Trump JD Vance,(Republican),785,AD 23,2024-11-13_13:12:12.569214
ED    7,99.00%,Donald J. Trump JD Vance,(Conservative),61,AD 23,2024-11-13_13:12:12.569214
ED    7,99.00%,Kamala D. Harris Tim Walz,(Working Families),17,AD 23,2024-11-13_13:12:12.569214
ED    7,99.00%,WRITE-IN,&nbsp,17,AD 23,2024-11-13_13:12:12.569214
ED    8,99.00%,Kamala D. Harris Tim Walz,(Democratic),377,AD 23,2024-11-13_13:12:12.569214
ED    8,99.00%,Donald J. Trump JD Vance,(Republican),505,AD 23,2024-11-13_13:12:12.569214
ED    8,99.00%,Donald J. Trump JD Vance,(Conservative),48,AD 23,2024-11-13_13:12:12.569214
ED    8,99.00%,Kamala D. Harris Tim Walz,(Working Families),38,AD 23,2024-11-13_13:12:12.569214
ED    8,99.00%,WRITE-IN,&nbsp,15,AD 23,2024-11-13_13:12:12.569214
ED    9,99.00%,Kamala D. Harris Tim Walz,(Democratic),289,AD 23,2024-11-13_13:12:12.569214
ED    9,99.00%,Donald J. Trump JD Vance,(Republican),267,AD 23,2024-11-13_13:12:12.569214
ED    9,99.00%,Donald J. Trump JD Vance,(Conservative),26,AD 23,2024-11-13_13:12:12.569214
ED    9,99.00%,Kamala D. Harris Tim Walz,(Working Families),37,AD 23,2024-11-13_13:12:12.569214
ED    9,99.00%,WRITE-IN,&nbsp,9,AD 23,2024-11-13_13:12:12.569214
ED   10,85.71%,Kamala D. Harris Tim Walz,(Democratic),398,AD 23,2024-11-13_13:12:12.569214
ED   10,85.71%,Donald J. Trump JD Vance,(Republican),676,AD 23,2024-11-13_13:12:12.569214
ED   10,85.71%,Donald J. Trump JD Vance,(Conservative),53,AD 23,2024-11-13_13:12:12.569214
ED   10,85.71%,Kamala D. Harris Tim Walz,(Working Families),29,AD 23,2024-11-13_13:12:12.569214
ED   10,85.71%,WRITE-IN,&nbsp,10,AD 23,2024-11-13_13:12:12.569214
ED   11,85.71%,Kamala D. Harris Tim Walz,(Democratic),547,AD 23,2024-11-13_13:12:12.569214
ED   11,85.71%,Donald J. Trump JD Vance,(Republican),240,AD 23,2024-11-13_13:12:12.569214
ED   11,85.71%,Donald J. Trump JD Vance,(Conservative),21,AD 23,2024-11-13_13:12:12.569214
ED   11,85.71%,Kamala D. Harris Tim Walz,(Working Families),33,AD 23,2024-11-13_13:12:12.569214
ED   11,85.71%,WRITE-IN,&nbsp,7,AD 23,2024-11-13_13:12:12.569214
ED   12,99.00%,Kamala D. Harris Tim Walz,(Democratic),155,AD 23,2024-11-13_13:12:12.569214
ED   12,99.00%,Donald J. Trump JD Vance,(Republican),82,AD 23,2024-11-13_13:12:12.569214
ED   12,99.00%,Donald J. Trump JD Vance,(Conservative),6,AD 23,2024-11-13_13:12:12.569214
