ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,YES,&nbsp,507,AD 23,2024-11-13_13:15:04.506582
ED    1,99.00%,NO,&nbsp,687,AD 23,2024-11-13_13:15:04.506582
ED    2,99.00%,YES,&nbsp,462,AD 23,2024-11-13_13:15:04.506582
ED    2,99.00%,NO,&nbsp,665,AD 23,2024-11-13_13:15:04.506582
ED    3,99.00%,YES,&nbsp,170,AD 23,2024-11-13_13:15:04.506582
ED    3,99.00%,NO,&nbsp,225,AD 23,2024-11-13_13:15:04.506582
ED    4,99.00%,YES,&nbsp,449,AD 23,2024-11-13_13:15:04.506582
ED    4,99.00%,NO,&nbsp,663,AD 23,2024-11-13_13:15:04.506582
ED    5,99.00%,YES,&nbsp,438,AD 23,2024-11-13_13:15:04.506582
ED    5,99.00%,NO,&nbsp,724,AD 23,2024-11-13_13:15:04.506582
ED    6,99.00%,YES,&nbsp,448,AD 23,2024-11-13_13:15:04.506582
ED    6,99.00%,NO,&nbsp,678,AD 23,2024-11-13_13:15:04.506582
ED    7,99.00%,YES,&nbsp,486,AD 23,2024-11-13_13:15:04.506582
ED    7,99.00%,NO,&nbsp,722,AD 23,2024-11-13_13:15:04.506582
ED    8,99.00%,YES,&nbsp,445,AD 23,2024-11-13_13:15:04.506582
ED    8,99.00%,NO,&nbsp,478,AD 23,2024-11-13_13:15:04.506582
ED    9,99.00%,YES,&nbsp,341,AD 23,2024-11-13_13:15:04.506582
ED    9,99.00%,NO,&nbsp,254,AD 23,2024-11-13_13:15:04.506582
ED   10,85.71%,YES,&nbsp,567,AD 23,2024-11-13_13:15:04.506582
ED   10,85.71%,NO,&nbsp,489,AD 23,2024-11-13_13:15:04.506582
ED   11,85.71%,YES,&nbsp,548,AD 23,2024-11-13_13:15:04.506582
ED   11,85.71%,NO,&nbsp,215,AD 23,2024-11-13_13:15:04.506582
ED   12,99.00%,YES,&nbsp,174,AD 23,2024-11-13_13:15:04.506582
ED   12,99.00%,NO,&nbsp,81,AD 23,2024-11-13_13:15:04.506582
ED   13,99.00%,YES,&nbsp,428,AD 23,2024-11-13_13:15:04.506582
ED   13,99.00%,NO,&nbsp,283,AD 23,2024-11-13_13:15:04.506582
ED   14,99.00%,YES,&nbsp,407,AD 23,2024-11-13_13:15:04.506582
ED   14,99.00%,NO,&nbsp,201,AD 23,2024-11-13_13:15:04.506582
ED   15,99.00%,YES,&nbsp,543,AD 23,2024-11-13_13:15:04.506582
ED   15,99.00%,NO,&nbsp,207,AD 23,2024-11-13_13:15:04.506582
ED   16,99.00%,YES,&nbsp,268,AD 23,2024-11-13_13:15:04.506582
ED   16,99.00%,NO,&nbsp,141,AD 23,2024-11-13_13:15:04.506582
ED   17,99.00%,YES,&nbsp,227,AD 23,2024-11-13_13:15:04.506582
ED   17,99.00%,NO,&nbsp,384,AD 23,2024-11-13_13:15:04.506582
ED   18,99.00%,YES,&nbsp,463,AD 23,2024-11-13_13:15:04.506582
ED   18,99.00%,NO,&nbsp,284,AD 23,2024-11-13_13:15:04.506582
ED   19,99.00%,YES,&nbsp,81,AD 23,2024-11-13_13:15:04.506582
ED   19,99.00%,NO,&nbsp,20,AD 23,2024-11-13_13:15:04.506582
ED   20,99.00%,YES,&nbsp,640,AD 23,2024-11-13_13:15:04.506582
