AD_num,reported,candidate,party,votes,scrape_time
AD   23,97.71%,YES,,15504,2024-11-07_14:10:28.331568
AD   23,97.71%,NO,,23517,2024-11-07_14:10:28.331568
AD   24,96.80%,YES,,17213,2024-11-07_14:10:28.331568
AD   24,96.80%,NO,,13584,2024-11-07_14:10:28.331568
AD   25,98.20%,YES,,11799,2024-11-07_14:10:28.331568
AD   25,98.20%,NO,,14707,2024-11-07_14:10:28.331568
AD   26,97.20%,YES,,17168,2024-11-07_14:10:28.331568
AD   26,97.20%,NO,,23415,2024-11-07_14:10:28.331568
AD   27,99.00%,YES,,12442,2024-11-07_14:10:28.331568
AD   27,99.00%,NO,,18281,2024-11-07_14:10:28.331568
AD   28,98.40%,YES,,16098,2024-11-07_14:10:28.331568
AD   28,98.40%,NO,,24895,2024-11-07_14:10:28.331568
AD   29,99.00%,YES,,25614,2024-11-07_14:10:28.331568
AD   29,99.00%,NO,,10742,2024-11-07_14:10:28.331568
AD   30,97.09%,YES,,12221,2024-11-07_14:10:28.331568
AD   30,97.09%,NO,,12440,2024-11-07_14:10:28.331568
AD   31,98.40%,YES,,18672,2024-11-07_14:10:28.331568
AD   31,98.40%,NO,,8310,2024-11-07_14:10:28.331568
AD   32,98.96%,YES,,22323,2024-11-07_14:10:28.331568
AD   32,98.96%,NO,,8907,2024-11-07_14:10:28.331568
AD   33,93.62%,YES,,25527,2024-11-07_14:10:28.331568
AD   33,93.62%,NO,,12837,2024-11-07_14:10:28.331568
AD   34,93.88%,YES,,13405,2024-11-07_14:10:28.331568
AD   34,93.88%,NO,,15846,2024-11-07_14:10:28.331568
AD   35,99.00%,YES,,12015,2024-11-07_14:10:28.331568
AD   35,99.00%,NO,,9262,2024-11-07_14:10:28.331568
AD   36,99.00%,YES,,16634,2024-11-07_14:10:28.331568
AD   36,99.00%,NO,,22859,2024-11-07_14:10:28.331568
AD   37,98.35%,YES,,14654,2024-11-07_14:10:28.331568
AD   37,98.35%,NO,,22079,2024-11-07_14:10:28.331568
AD   38,97.73%,YES,,13486,2024-11-07_14:10:28.331568
AD   38,97.73%,NO,,12968,2024-11-07_14:10:28.331568
AD   39,94.95%,YES,,10399,2024-11-07_14:10:28.331568
AD   39,94.95%,NO,,11904,2024-11-07_14:10:28.331568
AD   40,96.83%,YES,,9286,2024-11-07_14:10:28.331568
AD   40,96.83%,NO,,10463,2024-11-07_14:10:28.331568
AD   41,96.83%,YES,,12631,2024-11-07_14:10:28.331568
AD   41,96.83%,NO,,18058,2024-11-07_14:10:28.331568
AD   42,97.00%,YES,,16995,2024-11-07_14:10:28.331568
AD   42,97.00%,NO,,14462,2024-11-07_14:10:28.331568
AD   43,99.00%,YES,,19047,2024-11-07_14:10:28.331568
AD   43,99.00%,NO,,20015,2024-11-07_14:10:28.331568
AD   44,96.67%,YES,,14326,2024-11-07_14:10:28.331568
AD   44,96.67%,NO,,31694,2024-11-07_14:10:28.331568
AD   45,98.92%,YES,,6078,2024-11-07_14:10:28.331568
AD   45,98.92%,NO,,16690,2024-11-07_14:10:28.331568
AD   46,95.08%,YES,,11000,2024-11-07_14:10:28.331568
AD   46,95.08%,NO,,18416,2024-11-07_14:10:28.331568
AD   47,99.00%,YES,,6913,2024-11-07_14:10:28.331568
AD   47,99.00%,NO,,13380,2024-11-07_14:10:28.331568
AD   48,98.78%,YES,,3723,2024-11-07_14:10:28.331568
AD   48,98.78%,NO,,18512,2024-11-07_14:10:28.331568
AD   49,98.75%,YES,,5499,2024-11-07_14:10:28.331568
AD   49,98.75%,NO,,10178,2024-11-07_14:10:28.331568
AD   50,99.00%,YES,,12494,2024-11-07_14:10:28.331568
AD   50,99.00%,NO,,24838,2024-11-07_14:10:28.331568
