AD_num,reported,candidate,party,votes,scrape_time
AD   23,94.35%,Jumaane D. Williams,(Democratic),4691,2025-07-02_13:52:53.292283
AD   23,94.35%,Marty Dolan,(Democratic),1647,2025-07-02_13:52:53.292283
AD   23,94.35%,Jenifer Rajkumar,(Democratic),2919,2025-07-02_13:52:53.292283
AD   23,94.35%,WRITE-IN,,93,2025-07-02_13:52:53.292283
AD   24,98.18%,Jumaane D. Williams,(Democratic),6117,2025-07-02_13:52:53.292283
AD   24,98.18%,Marty Dolan,(Democratic),1064,2025-07-02_13:52:53.292283
AD   24,98.18%,Jenifer Rajkumar,(Democratic),3322,2025-07-02_13:52:53.292283
AD   24,98.18%,WRITE-IN,,58,2025-07-02_13:52:53.292283
AD   25,96.70%,Jumaane D. Williams,(Democratic),4123,2025-07-02_13:52:53.292283
AD   25,96.70%,Marty Dolan,(Democratic),1117,2025-07-02_13:52:53.292283
AD   25,96.70%,Jenifer Rajkumar,(Democratic),2016,2025-07-02_13:52:53.292283
AD   25,96.70%,WRITE-IN,,48,2025-07-02_13:52:53.292283
AD   26,99.00%,Jumaane D. Williams,(Democratic),5835,2025-07-02_13:52:53.292283
AD   26,99.00%,Marty Dolan,(Democratic),2235,2025-07-02_13:52:53.292283
AD   26,99.00%,Jenifer Rajkumar,(Democratic),3146,2025-07-02_13:52:53.292283
AD   26,99.00%,WRITE-IN,,72,2025-07-02_13:52:53.292283
AD   27,95.28%,Jumaane D. Williams,(Democratic),4371,2025-07-02_13:52:53.292283
AD   27,95.28%,Marty Dolan,(Democratic),1237,2025-07-02_13:52:53.292283
AD   27,95.28%,Jenifer Rajkumar,(Democratic),3291,2025-07-02_13:52:53.292283
AD   27,95.28%,WRITE-IN,,78,2025-07-02_13:52:53.292283
AD   28,95.41%,Jumaane D. Williams,(Democratic),7750,2025-07-02_13:52:53.292283
AD   28,95.41%,Marty Dolan,(Democratic),1865,2025-07-02_13:52:53.292283
AD   28,95.41%,Jenifer Rajkumar,(Democratic),3755,2025-07-02_13:52:53.292283
AD   28,95.41%,WRITE-IN,,87,2025-07-02_13:52:53.292283
AD   29,94.17%,Jumaane D. Williams,(Democratic),10197,2025-07-02_13:52:53.292283
AD   29,94.17%,Marty Dolan,(Democratic),612,2025-07-02_13:52:53.292283
AD   29,94.17%,Jenifer Rajkumar,(Democratic),1439,2025-07-02_13:52:53.292283
AD   29,94.17%,WRITE-IN,,43,2025-07-02_13:52:53.292283
AD   30,94.44%,Jumaane D. Williams,(Democratic),5262,2025-07-02_13:52:53.292283
AD   30,94.44%,Marty Dolan,(Democratic),1127,2025-07-02_13:52:53.292283
AD   30,94.44%,Jenifer Rajkumar,(Democratic),2245,2025-07-02_13:52:53.292283
AD   30,94.44%,WRITE-IN,,61,2025-07-02_13:52:53.292283
AD   31,94.12%,Jumaane D. Williams,(Democratic),5762,2025-07-02_13:52:53.292283
AD   31,94.12%,Marty Dolan,(Democratic),460,2025-07-02_13:52:53.292283
AD   31,94.12%,Jenifer Rajkumar,(Democratic),1398,2025-07-02_13:52:53.292283
AD   31,94.12%,WRITE-IN,,32,2025-07-02_13:52:53.292283
AD   32,84.42%,Jumaane D. Williams,(Democratic),8016,2025-07-02_13:52:53.292283
AD   32,84.42%,Marty Dolan,(Democratic),467,2025-07-02_13:52:53.292283
AD   32,84.42%,Jenifer Rajkumar,(Democratic),1203,2025-07-02_13:52:53.292283
AD   32,84.42%,WRITE-IN,,35,2025-07-02_13:52:53.292283
AD   33,96.25%,Jumaane D. Williams,(Democratic),10324,2025-07-02_13:52:53.292283
AD   33,96.25%,Marty Dolan,(Democratic),851,2025-07-02_13:52:53.292283
AD   33,96.25%,Jenifer Rajkumar,(Democratic),2100,2025-07-02_13:52:53.292283
AD   33,96.25%,WRITE-IN,,64,2025-07-02_13:52:53.292283
AD   34,97.47%,Jumaane D. Williams,(Democratic),8367,2025-07-02_13:52:53.292283
AD   34,97.47%,Marty Dolan,(Democratic),1358,2025-07-02_13:52:53.292283
AD   34,97.47%,Jenifer Rajkumar,(Democratic),2281,2025-07-02_13:52:53.292283
AD   34,97.47%,WRITE-IN,,66,2025-07-02_13:52:53.292283
AD   35,92.05%,Jumaane D. Williams,(Democratic),4812,2025-07-02_13:52:53.292283
AD   35,92.05%,Marty Dolan,(Democratic),796,2025-07-02_13:52:53.292283
AD   35,92.05%,Jenifer Rajkumar,(Democratic),1470,2025-07-02_13:52:53.292283
AD   35,92.05%,WRITE-IN,,53,2025-07-02_13:52:53.292283
AD   36,96.34%,Jumaane D. Williams,(Democratic),15338,2025-07-02_13:52:53.292283
AD   36,96.34%,Marty Dolan,(Democratic),1639,2025-07-02_13:52:53.292283
AD   36,96.34%,Jenifer Rajkumar,(Democratic),3379,2025-07-02_13:52:53.292283
AD   36,96.34%,WRITE-IN,,123,2025-07-02_13:52:53.292283
AD   37,91.07%,Jumaane D. Williams,(Democratic),12055,2025-07-02_13:52:53.292283
AD   37,91.07%,Marty Dolan,(Democratic),1510,2025-07-02_13:52:53.292283
AD   37,91.07%,Jenifer Rajkumar,(Democratic),2916,2025-07-02_13:52:53.292283
AD   37,91.07%,WRITE-IN,,92,2025-07-02_13:52:53.292283
AD   38,99.00%,Jumaane D. Williams,(Democratic),5097,2025-07-02_13:52:53.292283
AD   38,99.00%,Marty Dolan,(Democratic),535,2025-07-02_13:52:53.292283
AD   38,99.00%,Jenifer Rajkumar,(Democratic),3404,2025-07-02_13:52:53.292283
AD   38,99.00%,WRITE-IN,,66,2025-07-02_13:52:53.292283
AD   39,97.59%,Jumaane D. Williams,(Democratic),5827,2025-07-02_13:52:53.292283
AD   39,97.59%,Marty Dolan,(Democratic),1061,2025-07-02_13:52:53.292283
AD   39,97.59%,Jenifer Rajkumar,(Democratic),2091,2025-07-02_13:52:53.292283
AD   39,97.59%,WRITE-IN,,50,2025-07-02_13:52:53.292283
AD   40,89.36%,Jumaane D. Williams,(Democratic),2979,2025-07-02_13:52:53.292283
AD   40,89.36%,Marty Dolan,(Democratic),692,2025-07-02_13:52:53.292283
AD   40,89.36%,Jenifer Rajkumar,(Democratic),1222,2025-07-02_13:52:53.292283
AD   40,89.36%,WRITE-IN,,34,2025-07-02_13:52:53.292283
AD   41,98.10%,Jumaane D. Williams,(Democratic),6698,2025-07-02_13:52:53.292283
AD   41,98.10%,Marty Dolan,(Democratic),1331,2025-07-02_13:52:53.292283
AD   41,98.10%,Jenifer Rajkumar,(Democratic),3349,2025-07-02_13:52:53.292283
AD   41,98.10%,WRITE-IN,,80,2025-07-02_13:52:53.292283
AD   42,99.00%,Jumaane D. Williams,(Democratic),14370,2025-07-02_13:52:53.292283
AD   42,99.00%,Marty Dolan,(Democratic),863,2025-07-02_13:52:53.292283
AD   42,99.00%,Jenifer Rajkumar,(Democratic),2732,2025-07-02_13:52:53.292283
AD   42,99.00%,WRITE-IN,,78,2025-07-02_13:52:53.292283
AD   43,97.75%,Jumaane D. Williams,(Democratic),18946,2025-07-02_13:52:53.292283
AD   43,97.75%,Marty Dolan,(Democratic),1011,2025-07-02_13:52:53.292283
AD   43,97.75%,Jenifer Rajkumar,(Democratic),2162,2025-07-02_13:52:53.292283
AD   43,97.75%,WRITE-IN,,112,2025-07-02_13:52:53.292283
AD   44,98.32%,Jumaane D. Williams,(Democratic),26780,2025-07-02_13:52:53.292283
AD   44,98.32%,Marty Dolan,(Democratic),1845,2025-07-02_13:52:53.292283
AD   44,98.32%,Jenifer Rajkumar,(Democratic),4247,2025-07-02_13:52:53.292283
AD   44,98.32%,WRITE-IN,,139,2025-07-02_13:52:53.292283
AD   45,98.67%,Jumaane D. Williams,(Democratic),2322,2025-07-02_13:52:53.292283
AD   45,98.67%,Marty Dolan,(Democratic),948,2025-07-02_13:52:53.292283
AD   45,98.67%,Jenifer Rajkumar,(Democratic),2904,2025-07-02_13:52:53.292283
AD   45,98.67%,WRITE-IN,,66,2025-07-02_13:52:53.292283
AD   46,95.10%,Jumaane D. Williams,(Democratic),6200,2025-07-02_13:52:53.292283
AD   46,95.10%,Marty Dolan,(Democratic),1365,2025-07-02_13:52:53.292283
AD   46,95.10%,Jenifer Rajkumar,(Democratic),1821,2025-07-02_13:52:53.292283
AD   46,95.10%,WRITE-IN,,70,2025-07-02_13:52:53.292283
AD   47,99.00%,Jumaane D. Williams,(Democratic),2981,2025-07-02_13:52:53.292283
