boro,reported,candidate,party,votes,scrape_time
New York,95.48%,Jumaane D. Williams,(Democratic),170186,2025-07-02_13:52:53.292283
New York,95.48%,Marty Dolan,(Democratic),27341,2025-07-02_13:52:53.292283
New York,95.48%,Jenifer Rajkumar,(Democratic),54708,2025-07-02_13:52:53.292283
New York,95.48%,WRITE-IN,,1641,2025-07-02_13:52:53.292283
Bronx,96.10%,Jumaane D. Williams,(Democratic),69723,2025-07-02_13:52:53.292283
Bronx,96.10%,Marty Dolan,(Democratic),8622,2025-07-02_13:52:53.292283
Bronx,96.10%,Jenifer Rajkumar,(Democratic),14816,2025-07-02_13:52:53.292283
Bronx,96.10%,WRITE-IN,,567,2025-07-02_13:52:53.292283
Kings,97.38%,Jumaane D. Williams,(Democratic),247876,2025-07-02_13:52:53.292283
Kings,97.38%,Marty Dolan,(Democratic),22186,2025-07-02_13:52:53.292283
Kings,97.38%,Jenifer Rajkumar,(Democratic),46978,2025-07-02_13:52:53.292283
Kings,97.38%,WRITE-IN,,1731,2025-07-02_13:52:53.292283
Queens,94.41%,Jumaane D. Williams,(Democratic),126923,2025-07-02_13:52:53.292283
Queens,94.41%,Marty Dolan,(Democratic),20273,2025-07-02_13:52:53.292283
Queens,94.41%,Jenifer Rajkumar,(Democratic),43597,2025-07-02_13:52:53.292283
Queens,94.41%,WRITE-IN,,1155,2025-07-02_13:52:53.292283
Richmond,98.07%,Jumaane D. Williams,(Democratic),15387,2025-07-02_13:52:53.292283
Richmond,98.07%,Marty Dolan,(Democratic),4448,2025-07-02_13:52:53.292283
Richmond,98.07%,Jenifer Rajkumar,(Democratic),4869,2025-07-02_13:52:53.292283
Richmond,98.07%,WRITE-IN,,281,2025-07-02_13:52:53.292283
Total,,Jumaane D. Williams,(Democratic),630095,2025-07-02_13:52:53.292283
Total,,Marty Dolan,(Democratic),82870,2025-07-02_13:52:53.292283
Total,,Jenifer Rajkumar,(Democratic),164968,2025-07-02_13:52:53.292283
Total,,WRITE-IN,,5375,2025-07-02_13:52:53.292283
