ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Jumaane D. Williams,(Democratic),55,AD 23,2025-07-02_13:52:53.292283
ED    1,99.00%,Marty Dolan,(Democratic),91,AD 23,2025-07-02_13:52:53.292283
ED    1,99.00%,Jenifer Rajkumar,(Democratic),32,AD 23,2025-07-02_13:52:53.292283
ED    1,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:52:53.292283
ED    2,99.00%,Jumaane D. Williams,(Democratic),47,AD 23,2025-07-02_13:52:53.292283
ED    2,99.00%,Marty Dolan,(Democratic),66,AD 23,2025-07-02_13:52:53.292283
ED    2,99.00%,Jenifer Rajkumar,(Democratic),33,AD 23,2025-07-02_13:52:53.292283
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:52:53.292283
ED    3,99.00%,Jumaane D. Williams,(Democratic),13,AD 23,2025-07-02_13:52:53.292283
ED    3,99.00%,Marty Dolan,(Democratic),21,AD 23,2025-07-02_13:52:53.292283
ED    3,99.00%,Jenifer Rajkumar,(Democratic),12,AD 23,2025-07-02_13:52:53.292283
ED    3,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:52:53.292283
ED    4,75.00%,Jumaane D. Williams,(Democratic),72,AD 23,2025-07-02_13:52:53.292283
ED    4,75.00%,Marty Dolan,(Democratic),95,AD 23,2025-07-02_13:52:53.292283
ED    4,75.00%,Jenifer Rajkumar,(Democratic),49,AD 23,2025-07-02_13:52:53.292283
ED    4,75.00%,WRITE-IN,&nbsp,2,AD 23,2025-07-02_13:52:53.292283
ED    5,75.00%,Jumaane D. Williams,(Democratic),69,AD 23,2025-07-02_13:52:53.292283
ED    5,75.00%,Marty Dolan,(Democratic),103,AD 23,2025-07-02_13:52:53.292283
ED    5,75.00%,Jenifer Rajkumar,(Democratic),51,AD 23,2025-07-02_13:52:53.292283
ED    5,75.00%,WRITE-IN,&nbsp,4,AD 23,2025-07-02_13:52:53.292283
ED    6,75.00%,Jumaane D. Williams,(Democratic),73,AD 23,2025-07-02_13:52:53.292283
ED    6,75.00%,Marty Dolan,(Democratic),89,AD 23,2025-07-02_13:52:53.292283
