ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   62,99.00%,Daniel Goldman,(Democratic),0,AD 42,2024-11-07_14:07:05.553054
ED   62,99.00%,Alexander Dodenhoff,(Republican),0,AD 42,2024-11-07_14:07:05.553054
ED   62,99.00%,Paul J. Briscoe,(Conservative),0,AD 42,2024-11-07_14:07:05.553054
ED   62,99.00%,WRITE-IN,&nbsp,0,AD 42,2024-11-07_14:07:05.553054
Total,,Daniel Goldman,(Democratic),-,AD 42,2024-11-07_14:07:05.553054
Total,,Alexander Dodenhoff,(Republican),-,AD 42,2024-11-07_14:07:05.553054
Total,,Paul J. Briscoe,(Conservative),-,AD 42,2024-11-07_14:07:05.553054
Total,,WRITE-IN,&nbsp,-,AD 42,2024-11-07_14:07:05.553054
ED    1,99.00%,Daniel Goldman,(Democratic),804,AD 44,2024-11-07_14:07:05.553054
ED    1,99.00%,Alexander Dodenhoff,(Republican),36,AD 44,2024-11-07_14:07:05.553054
ED    1,99.00%,Paul J. Briscoe,(Conservative),21,AD 44,2024-11-07_14:07:05.553054
ED    1,99.00%,WRITE-IN,&nbsp,14,AD 44,2024-11-07_14:07:05.553054
ED    3,92.31%,Daniel Goldman,(Democratic),176,AD 44,2024-11-07_14:07:05.553054
ED    3,92.31%,Alexander Dodenhoff,(Republican),10,AD 44,2024-11-07_14:07:05.553054
ED    3,92.31%,Paul J. Briscoe,(Conservative),5,AD 44,2024-11-07_14:07:05.553054
ED    3,92.31%,WRITE-IN,&nbsp,5,AD 44,2024-11-07_14:07:05.553054
ED    5,99.00%,Daniel Goldman,(Democratic),241,AD 44,2024-11-07_14:07:05.553054
ED    5,99.00%,Alexander Dodenhoff,(Republican),11,AD 44,2024-11-07_14:07:05.553054
ED    5,99.00%,Paul J. Briscoe,(Conservative),1,AD 44,2024-11-07_14:07:05.553054
ED    5,99.00%,WRITE-IN,&nbsp,1,AD 44,2024-11-07_14:07:05.553054
ED    6,99.00%,Daniel Goldman,(Democratic),1311,AD 44,2024-11-07_14:07:05.553054
