ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   55,85.71%,Thomas R. Suozzi,(Democratic),335,AD 24,2024-11-07_14:16:50.478704
ED   55,85.71%,Michael J. LiPetri Jr.,(Republican),105,AD 24,2024-11-07_14:16:50.478704
ED   55,85.71%,Michael J. LiPetri Jr.,(Conservative),6,AD 24,2024-11-07_14:16:50.478704
ED   55,85.71%,Thomas R. Suozzi,(Common Sense),5,AD 24,2024-11-07_14:16:50.478704
ED   55,85.71%,WRITE-IN,&nbsp,2,AD 24,2024-11-07_14:16:50.478704
ED   56,85.71%,Thomas R. Suozzi,(Democratic),385,AD 24,2024-11-07_14:16:50.478704
ED   56,85.71%,Michael J. LiPetri Jr.,(Republican),168,AD 24,2024-11-07_14:16:50.478704
ED   56,85.71%,Michael J. LiPetri Jr.,(Conservative),14,AD 24,2024-11-07_14:16:50.478704
ED   56,85.71%,Thomas R. Suozzi,(Common Sense),12,AD 24,2024-11-07_14:16:50.478704
ED   56,85.71%,WRITE-IN,&nbsp,5,AD 24,2024-11-07_14:16:50.478704
ED   57,85.71%,Thomas R. Suozzi,(Democratic),328,AD 24,2024-11-07_14:16:50.478704
ED   57,85.71%,Michael J. LiPetri Jr.,(Republican),147,AD 24,2024-11-07_14:16:50.478704
ED   57,85.71%,Michael J. LiPetri Jr.,(Conservative),20,AD 24,2024-11-07_14:16:50.478704
ED   57,85.71%,Thomas R. Suozzi,(Common Sense),5,AD 24,2024-11-07_14:16:50.478704
ED   57,85.71%,WRITE-IN,&nbsp,3,AD 24,2024-11-07_14:16:50.478704
Total,,Thomas R. Suozzi,(Democratic),1048,AD 24,2024-11-07_14:16:50.478704
Total,,Michael J. LiPetri Jr.,(Republican),420,AD 24,2024-11-07_14:16:50.478704
Total,,Michael J. LiPetri Jr.,(Conservative),40,AD 24,2024-11-07_14:16:50.478704
Total,,Thomas R. Suozzi,(Common Sense),22,AD 24,2024-11-07_14:16:50.478704
