AD_num,reported,candidate,party,votes,scrape_time
AD   48,99.00%,Nachman Caller (M),(Republican),747,2025-07-02_13:54:33.913906
AD   48,99.00%,Soya Radin (F),(Republican),110,2025-07-02_13:54:33.913906
AD   48,99.00%,Abraham S. Tischler (M),(Republican),324,2025-07-02_13:54:33.913906
AD   48,99.00%,Tehila Haddasah Tischler (F),(Republican),137,2025-07-02_13:54:33.913906
AD   48,99.00%,WRITE-IN,,41,2025-07-02_13:54:33.913906
Total,,Nachman Caller (M),(Republican),747,2025-07-02_13:54:33.913906
Total,,Soya Radin (F),(Republican),110,2025-07-02_13:54:33.913906
Total,,Abraham S. Tischler (M),(Republican),324,2025-07-02_13:54:33.913906
Total,,Tehila Haddasah Tischler (F),(Republican),137,2025-07-02_13:54:33.913906
Total,,WRITE-IN,,41,2025-07-02_13:54:33.913906
