ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Nachman Caller (M),(Republican),3,AD 48,2025-07-02_13:54:33.913906
ED    1,99.00%,Soya Radin (F),(Republican),1,AD 48,2025-07-02_13:54:33.913906
ED    1,99.00%,Abraham S. Tischler (M),(Republican),3,AD 48,2025-07-02_13:54:33.913906
ED    1,99.00%,Tehila Haddasah Tischler (F),(Republican),0,AD 48,2025-07-02_13:54:33.913906
ED    1,99.00%,WRITE-IN,&nbsp,0,AD 48,2025-07-02_13:54:33.913906
ED    2,99.00%,Nachman Caller (M),(Republican),15,AD 48,2025-07-02_13:54:33.913906
ED    2,99.00%,Soya Radin (F),(Republican),1,AD 48,2025-07-02_13:54:33.913906
ED    2,99.00%,Abraham S. Tischler (M),(Republican),3,AD 48,2025-07-02_13:54:33.913906
ED    2,99.00%,Tehila Haddasah Tischler (F),(Republican),1,AD 48,2025-07-02_13:54:33.913906
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 48,2025-07-02_13:54:33.913906
ED    3,99.00%,Nachman Caller (M),(Republican),15,AD 48,2025-07-02_13:54:33.913906
ED    3,99.00%,Soya Radin (F),(Republican),5,AD 48,2025-07-02_13:54:33.913906
ED    3,99.00%,Abraham S. Tischler (M),(Republican),10,AD 48,2025-07-02_13:54:33.913906
ED    3,99.00%,Tehila Haddasah Tischler (F),(Republican),3,AD 48,2025-07-02_13:54:33.913906
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 48,2025-07-02_13:54:33.913906
ED    4,99.00%,Nachman Caller (M),(Republican),16,AD 48,2025-07-02_13:54:33.913906
ED    4,99.00%,Soya Radin (F),(Republican),1,AD 48,2025-07-02_13:54:33.913906
ED    4,99.00%,Abraham S. Tischler (M),(Republican),8,AD 48,2025-07-02_13:54:33.913906
ED    4,99.00%,Tehila Haddasah Tischler (F),(Republican),3,AD 48,2025-07-02_13:54:33.913906
ED    4,99.00%,WRITE-IN,&nbsp,0,AD 48,2025-07-02_13:54:33.913906
ED    5,99.00%,Nachman Caller (M),(Republican),7,AD 48,2025-07-02_13:54:33.913906
ED    5,99.00%,Soya Radin (F),(Republican),1,AD 48,2025-07-02_13:54:33.913906
ED    5,99.00%,Abraham S. Tischler (M),(Republican),5,AD 48,2025-07-02_13:54:33.913906
ED    5,99.00%,Tehila Haddasah Tischler (F),(Republican),0,AD 48,2025-07-02_13:54:33.913906
ED    5,99.00%,WRITE-IN,&nbsp,1,AD 48,2025-07-02_13:54:33.913906
ED    6,99.00%,Nachman Caller (M),(Republican),17,AD 48,2025-07-02_13:54:33.913906
ED    6,99.00%,Soya Radin (F),(Republican),1,AD 48,2025-07-02_13:54:33.913906
ED    6,99.00%,Abraham S. Tischler (M),(Republican),5,AD 48,2025-07-02_13:54:33.913906
ED    6,99.00%,Tehila Haddasah Tischler (F),(Republican),3,AD 48,2025-07-02_13:54:33.913906
ED    6,99.00%,WRITE-IN,&nbsp,1,AD 48,2025-07-02_13:54:33.913906
ED    7,99.00%,Nachman Caller (M),(Republican),23,AD 48,2025-07-02_13:54:33.913906
ED    7,99.00%,Soya Radin (F),(Republican),3,AD 48,2025-07-02_13:54:33.913906
ED    7,99.00%,Abraham S. Tischler (M),(Republican),5,AD 48,2025-07-02_13:54:33.913906
ED    7,99.00%,Tehila Haddasah Tischler (F),(Republican),3,AD 48,2025-07-02_13:54:33.913906
ED    7,99.00%,WRITE-IN,&nbsp,3,AD 48,2025-07-02_13:54:33.913906
ED    8,99.00%,Nachman Caller (M),(Republican),27,AD 48,2025-07-02_13:54:33.913906
ED    8,99.00%,Soya Radin (F),(Republican),2,AD 48,2025-07-02_13:54:33.913906
ED    8,99.00%,Abraham S. Tischler (M),(Republican),11,AD 48,2025-07-02_13:54:33.913906
ED    8,99.00%,Tehila Haddasah Tischler (F),(Republican),6,AD 48,2025-07-02_13:54:33.913906
ED    8,99.00%,WRITE-IN,&nbsp,0,AD 48,2025-07-02_13:54:33.913906
ED    9,99.00%,Nachman Caller (M),(Republican),12,AD 48,2025-07-02_13:54:33.913906
ED    9,99.00%,Soya Radin (F),(Republican),1,AD 48,2025-07-02_13:54:33.913906
ED    9,99.00%,Abraham S. Tischler (M),(Republican),2,AD 48,2025-07-02_13:54:33.913906
ED    9,99.00%,Tehila Haddasah Tischler (F),(Republican),1,AD 48,2025-07-02_13:54:33.913906
ED    9,99.00%,WRITE-IN,&nbsp,1,AD 48,2025-07-02_13:54:33.913906
ED   10,99.00%,Nachman Caller (M),(Republican),16,AD 48,2025-07-02_13:54:33.913906
ED   10,99.00%,Soya Radin (F),(Republican),1,AD 48,2025-07-02_13:54:33.913906
ED   10,99.00%,Abraham S. Tischler (M),(Republican),6,AD 48,2025-07-02_13:54:33.913906
ED   10,99.00%,Tehila Haddasah Tischler (F),(Republican),0,AD 48,2025-07-02_13:54:33.913906
ED   10,99.00%,WRITE-IN,&nbsp,0,AD 48,2025-07-02_13:54:33.913906
ED   11,99.00%,Nachman Caller (M),(Republican),11,AD 48,2025-07-02_13:54:33.913906
ED   11,99.00%,Soya Radin (F),(Republican),3,AD 48,2025-07-02_13:54:33.913906
ED   11,99.00%,Abraham S. Tischler (M),(Republican),4,AD 48,2025-07-02_13:54:33.913906
ED   11,99.00%,Tehila Haddasah Tischler (F),(Republican),1,AD 48,2025-07-02_13:54:33.913906
ED   11,99.00%,WRITE-IN,&nbsp,0,AD 48,2025-07-02_13:54:33.913906
ED   12,99.00%,Nachman Caller (M),(Republican),13,AD 48,2025-07-02_13:54:33.913906
ED   12,99.00%,Soya Radin (F),(Republican),2,AD 48,2025-07-02_13:54:33.913906
ED   12,99.00%,Abraham S. Tischler (M),(Republican),0,AD 48,2025-07-02_13:54:33.913906
ED   12,99.00%,Tehila Haddasah Tischler (F),(Republican),0,AD 48,2025-07-02_13:54:33.913906
