AD_num,reported,candidate,party,votes,scrape_time
AD   42,99.00%,Zellnor Y. Myrie,(Democratic),1036,2024-11-07_14:17:42.827646
AD   42,99.00%,WRITE-IN,,5,2024-11-07_14:17:42.827646
AD   43,99.00%,Zellnor Y. Myrie,(Democratic),38852,2024-11-07_14:17:42.827646
AD   43,99.00%,WRITE-IN,,253,2024-11-07_14:17:42.827646
AD   44,96.20%,Zellnor Y. Myrie,(Democratic),21888,2024-11-07_14:17:42.827646
AD   44,96.20%,WRITE-IN,,203,2024-11-07_14:17:42.827646
AD   51,92.86%,Zellnor Y. Myrie,(Democratic),2342,2024-11-07_14:17:42.827646
AD   51,92.86%,WRITE-IN,,20,2024-11-07_14:17:42.827646
AD   52,99.00%,Zellnor Y. Myrie,(Democratic),9527,2024-11-07_14:17:42.827646
AD   52,99.00%,WRITE-IN,,61,2024-11-07_14:17:42.827646
AD   55,96.43%,Zellnor Y. Myrie,(Democratic),3752,2024-11-07_14:17:42.827646
AD   55,96.43%,WRITE-IN,,12,2024-11-07_14:17:42.827646
AD   56,97.06%,Zellnor Y. Myrie,(Democratic),6016,2024-11-07_14:17:42.827646
AD   56,97.06%,WRITE-IN,,44,2024-11-07_14:17:42.827646
AD   57,97.96%,Zellnor Y. Myrie,(Democratic),10477,2024-11-07_14:17:42.827646
AD   57,97.96%,WRITE-IN,,46,2024-11-07_14:17:42.827646
AD   58,99.00%,Zellnor Y. Myrie,(Democratic),5403,2024-11-07_14:17:42.827646
AD   58,99.00%,WRITE-IN,,11,2024-11-07_14:17:42.827646
Total,,Zellnor Y. Myrie,(Democratic),99293,2024-11-07_14:17:42.827646
Total,,WRITE-IN,,655,2024-11-07_14:17:42.827646
