AD_num,reported,candidate,party,votes,scrape_time
AD   41,95.00%,Kevin S. Parker,(Democratic),10887,2024-11-07_14:17:44.591426
AD   41,95.00%,WRITE-IN,,168,2024-11-07_14:17:44.591426
AD   42,96.81%,Kevin S. Parker,(Democratic),30193,2024-11-07_14:17:44.591426
AD   42,96.81%,WRITE-IN,,479,2024-11-07_14:17:44.591426
AD   43,99.00%,Kevin S. Parker,(Democratic),796,2024-11-07_14:17:44.591426
AD   43,99.00%,WRITE-IN,,4,2024-11-07_14:17:44.591426
AD   44,95.83%,Kevin S. Parker,(Democratic),7945,2024-11-07_14:17:44.591426
AD   44,95.83%,WRITE-IN,,283,2024-11-07_14:17:44.591426
AD   48,94.74%,Kevin S. Parker,(Democratic),745,2024-11-07_14:17:44.591426
AD   48,94.74%,WRITE-IN,,51,2024-11-07_14:17:44.591426
AD   58,99.00%,Kevin S. Parker,(Democratic),12708,2024-11-07_14:17:44.591426
AD   58,99.00%,WRITE-IN,,46,2024-11-07_14:17:44.591426
AD   59,96.23%,Kevin S. Parker,(Democratic),12789,2024-11-07_14:17:44.591426
AD   59,96.23%,WRITE-IN,,206,2024-11-07_14:17:44.591426
Total,,Kevin S. Parker,(Democratic),76063,2024-11-07_14:17:44.591426
Total,,WRITE-IN,,1237,2024-11-07_14:17:44.591426
