ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Kevin S. Parker,(Democratic),743,AD 41,2024-11-13_13:13:47.32047
ED    1,99.00%,WRITE-IN,&nbsp,2,AD 41,2024-11-13_13:13:47.32047
ED    2,99.00%,Kevin S. Parker,(Democratic),657,AD 41,2024-11-13_13:13:47.32047
ED    2,99.00%,WRITE-IN,&nbsp,3,AD 41,2024-11-13_13:13:47.32047
ED    3,81.82%,Kevin S. Parker,(Democratic),422,AD 41,2024-11-13_13:13:47.32047
ED    3,81.82%,WRITE-IN,&nbsp,5,AD 41,2024-11-13_13:13:47.32047
ED    4,92.31%,Kevin S. Parker,(Democratic),699,AD 41,2024-11-13_13:13:47.32047
ED    4,92.31%,WRITE-IN,&nbsp,5,AD 41,2024-11-13_13:13:47.32047
ED    5,99.00%,Kevin S. Parker,(Democratic),523,AD 41,2024-11-13_13:13:47.32047
ED    5,99.00%,WRITE-IN,&nbsp,9,AD 41,2024-11-13_13:13:47.32047
ED    6,99.00%,Kevin S. Parker,(Democratic),585,AD 41,2024-11-13_13:13:47.32047
ED    6,99.00%,WRITE-IN,&nbsp,4,AD 41,2024-11-13_13:13:47.32047
ED    7,99.00%,Kevin S. Parker,(Democratic),666,AD 41,2024-11-13_13:13:47.32047
ED    7,99.00%,WRITE-IN,&nbsp,3,AD 41,2024-11-13_13:13:47.32047
ED    8,99.00%,Kevin S. Parker,(Democratic),567,AD 41,2024-11-13_13:13:47.32047
ED    8,99.00%,WRITE-IN,&nbsp,1,AD 41,2024-11-13_13:13:47.32047
ED    9,81.82%,Kevin S. Parker,(Democratic),613,AD 41,2024-11-13_13:13:47.32047
ED    9,81.82%,WRITE-IN,&nbsp,2,AD 41,2024-11-13_13:13:47.32047
ED   10,99.00%,Kevin S. Parker,(Democratic),465,AD 41,2024-11-13_13:13:47.32047
ED   10,99.00%,WRITE-IN,&nbsp,4,AD 41,2024-11-13_13:13:47.32047
ED   11,81.82%,Kevin S. Parker,(Democratic),528,AD 41,2024-11-13_13:13:47.32047
ED   11,81.82%,WRITE-IN,&nbsp,0,AD 41,2024-11-13_13:13:47.32047
ED   12,92.31%,Kevin S. Parker,(Democratic),274,AD 41,2024-11-13_13:13:47.32047
ED   12,92.31%,WRITE-IN,&nbsp,20,AD 41,2024-11-13_13:13:47.32047
ED   13,92.31%,Kevin S. Parker,(Democratic),343,AD 41,2024-11-13_13:13:47.32047
ED   13,92.31%,WRITE-IN,&nbsp,2,AD 41,2024-11-13_13:13:47.32047
ED   14,99.00%,Kevin S. Parker,(Democratic),257,AD 41,2024-11-13_13:13:47.32047
ED   14,99.00%,WRITE-IN,&nbsp,17,AD 41,2024-11-13_13:13:47.32047
ED   15,99.00%,Kevin S. Parker,(Democratic),149,AD 41,2024-11-13_13:13:47.32047
ED   15,99.00%,WRITE-IN,&nbsp,7,AD 41,2024-11-13_13:13:47.32047
ED   16,99.00%,Kevin S. Parker,(Democratic),308,AD 41,2024-11-13_13:13:47.32047
ED   16,99.00%,WRITE-IN,&nbsp,3,AD 41,2024-11-13_13:13:47.32047
ED   17,99.00%,Kevin S. Parker,(Democratic),471,AD 41,2024-11-13_13:13:47.32047
ED   17,99.00%,WRITE-IN,&nbsp,4,AD 41,2024-11-13_13:13:47.32047
ED   18,99.00%,Kevin S. Parker,(Democratic),470,AD 41,2024-11-13_13:13:47.32047
ED   18,99.00%,WRITE-IN,&nbsp,3,AD 41,2024-11-13_13:13:47.32047
ED   19,99.00%,Kevin S. Parker,(Democratic),534,AD 41,2024-11-13_13:13:47.32047
ED   19,99.00%,WRITE-IN,&nbsp,3,AD 41,2024-11-13_13:13:47.32047
ED   32,99.00%,Kevin S. Parker,(Democratic),514,AD 41,2024-11-13_13:13:47.32047
ED   32,99.00%,WRITE-IN,&nbsp,10,AD 41,2024-11-13_13:13:47.32047
ED   33,99.00%,Kevin S. Parker,(Democratic),411,AD 41,2024-11-13_13:13:47.32047
ED   33,99.00%,WRITE-IN,&nbsp,19,AD 41,2024-11-13_13:13:47.32047
ED   34,99.00%,Kevin S. Parker,(Democratic),439,AD 41,2024-11-13_13:13:47.32047
ED   34,99.00%,WRITE-IN,&nbsp,21,AD 41,2024-11-13_13:13:47.32047
ED   35,99.00%,Kevin S. Parker,(Democratic),249,AD 41,2024-11-13_13:13:47.32047
ED   35,99.00%,WRITE-IN,&nbsp,21,AD 41,2024-11-13_13:13:47.32047
ED   74,81.82%,Kevin S. Parker,(Democratic),0,AD 41,2024-11-13_13:13:47.32047
ED   74,81.82%,WRITE-IN,&nbsp,0,AD 41,2024-11-13_13:13:47.32047
Total,,Kevin S. Parker,(Democratic),10887,AD 41,2024-11-13_13:13:47.32047
Total,,WRITE-IN,&nbsp,168,AD 41,2024-11-13_13:13:47.32047
ED    1,99.00%,Kevin S. Parker,(Democratic),36,AD 42,2024-11-13_13:13:47.32047
ED    1,99.00%,WRITE-IN,&nbsp,0,AD 42,2024-11-13_13:13:47.32047
ED    2,99.00%,Kevin S. Parker,(Democratic),523,AD 42,2024-11-13_13:13:47.32047
ED    2,99.00%,WRITE-IN,&nbsp,15,AD 42,2024-11-13_13:13:47.32047
ED    3,99.00%,Kevin S. Parker,(Democratic),702,AD 42,2024-11-13_13:13:47.32047
ED    3,99.00%,WRITE-IN,&nbsp,15,AD 42,2024-11-13_13:13:47.32047
ED    4,99.00%,Kevin S. Parker,(Democratic),629,AD 42,2024-11-13_13:13:47.32047
ED    4,99.00%,WRITE-IN,&nbsp,13,AD 42,2024-11-13_13:13:47.32047
ED    5,99.00%,Kevin S. Parker,(Democratic),649,AD 42,2024-11-13_13:13:47.32047
ED    5,99.00%,WRITE-IN,&nbsp,4,AD 42,2024-11-13_13:13:47.32047
ED    6,99.00%,Kevin S. Parker,(Democratic),750,AD 42,2024-11-13_13:13:47.32047
ED    6,99.00%,WRITE-IN,&nbsp,10,AD 42,2024-11-13_13:13:47.32047
ED    7,99.00%,Kevin S. Parker,(Democratic),804,AD 42,2024-11-13_13:13:47.32047
ED    7,99.00%,WRITE-IN,&nbsp,10,AD 42,2024-11-13_13:13:47.32047
ED   10,99.00%,Kevin S. Parker,(Democratic),762,AD 42,2024-11-13_13:13:47.32047
