AD_num,reported,candidate,party,votes,scrape_time
AD   41,98.67%,Simcha Felder,(Democratic),6311,2024-11-07_14:17:46.133581
AD   41,98.67%,Simcha Felder,(Republican),10374,2024-11-07_14:17:46.133581
AD   41,98.67%,Simcha Felder,(Conservative),1212,2024-11-07_14:17:46.133581
AD   41,98.67%,WRITE-IN,,196,2024-11-07_14:17:46.133581
AD   42,99.00%,Simcha Felder,(Democratic),313,2024-11-07_14:17:46.133581
AD   42,99.00%,Simcha Felder,(Republican),909,2024-11-07_14:17:46.133581
AD   42,99.00%,Simcha Felder,(Conservative),91,2024-11-07_14:17:46.133581
AD   42,99.00%,WRITE-IN,,5,2024-11-07_14:17:46.133581
AD   44,99.00%,Simcha Felder,(Democratic),414,2024-11-07_14:17:46.133581
AD   44,99.00%,Simcha Felder,(Republican),845,2024-11-07_14:17:46.133581
AD   44,99.00%,Simcha Felder,(Conservative),118,2024-11-07_14:17:46.133581
AD   44,99.00%,WRITE-IN,,13,2024-11-07_14:17:46.133581
AD   45,98.67%,Simcha Felder,(Democratic),4625,2024-11-07_14:17:46.133581
AD   45,98.67%,Simcha Felder,(Republican),11630,2024-11-07_14:17:46.133581
AD   45,98.67%,Simcha Felder,(Conservative),1486,2024-11-07_14:17:46.133581
AD   45,98.67%,WRITE-IN,,137,2024-11-07_14:17:46.133581
AD   47,99.00%,Simcha Felder,(Democratic),153,2024-11-07_14:17:46.133581
AD   47,99.00%,Simcha Felder,(Republican),185,2024-11-07_14:17:46.133581
AD   47,99.00%,Simcha Felder,(Conservative),19,2024-11-07_14:17:46.133581
AD   47,99.00%,WRITE-IN,,3,2024-11-07_14:17:46.133581
AD   48,98.78%,Simcha Felder,(Democratic),7044,2024-11-07_14:17:46.133581
AD   48,98.78%,Simcha Felder,(Republican),17597,2024-11-07_14:17:46.133581
AD   48,98.78%,Simcha Felder,(Conservative),2948,2024-11-07_14:17:46.133581
AD   48,98.78%,WRITE-IN,,217,2024-11-07_14:17:46.133581
AD   49,94.44%,Simcha Felder,(Democratic),213,2024-11-07_14:17:46.133581
AD   49,94.44%,Simcha Felder,(Republican),264,2024-11-07_14:17:46.133581
AD   49,94.44%,Simcha Felder,(Conservative),41,2024-11-07_14:17:46.133581
AD   49,94.44%,WRITE-IN,,8,2024-11-07_14:17:46.133581
AD   51,71.43%,Simcha Felder,(Democratic),197,2024-11-07_14:17:46.133581
AD   51,71.43%,Simcha Felder,(Republican),318,2024-11-07_14:17:46.133581
AD   51,71.43%,Simcha Felder,(Conservative),44,2024-11-07_14:17:46.133581
AD   51,71.43%,WRITE-IN,,9,2024-11-07_14:17:46.133581
AD   59,99.00%,Simcha Felder,(Democratic),1534,2024-11-07_14:17:46.133581
AD   59,99.00%,Simcha Felder,(Republican),2558,2024-11-07_14:17:46.133581
AD   59,99.00%,Simcha Felder,(Conservative),374,2024-11-07_14:17:46.133581
AD   59,99.00%,WRITE-IN,,47,2024-11-07_14:17:46.133581
Total,,Simcha Felder,(Democratic),20804,2024-11-07_14:17:46.133581
Total,,Simcha Felder,(Republican),44680,2024-11-07_14:17:46.133581
Total,,Simcha Felder,(Conservative),6333,2024-11-07_14:17:46.133581
Total,,WRITE-IN,,635,2024-11-07_14:17:46.133581
