ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   20,99.00%,Simcha Felder,(Democratic),56,AD 41,2024-11-07_14:07:59.298666
ED   20,99.00%,Simcha Felder,(Republican),100,AD 41,2024-11-07_14:07:59.298666
ED   20,99.00%,Simcha Felder,(Conservative),13,AD 41,2024-11-07_14:07:59.298666
ED   20,99.00%,WRITE-IN,&nbsp,3,AD 41,2024-11-07_14:07:59.298666
ED   21,99.00%,Simcha Felder,(Democratic),102,AD 41,2024-11-07_14:07:59.298666
ED   21,99.00%,Simcha Felder,(Republican),137,AD 41,2024-11-07_14:07:59.298666
ED   21,99.00%,Simcha Felder,(Conservative),12,AD 41,2024-11-07_14:07:59.298666
ED   21,99.00%,WRITE-IN,&nbsp,6,AD 41,2024-11-07_14:07:59.298666
ED   22,99.00%,Simcha Felder,(Democratic),307,AD 41,2024-11-07_14:07:59.298666
ED   22,99.00%,Simcha Felder,(Republican),563,AD 41,2024-11-07_14:07:59.298666
ED   22,99.00%,Simcha Felder,(Conservative),67,AD 41,2024-11-07_14:07:59.298666
ED   22,99.00%,WRITE-IN,&nbsp,5,AD 41,2024-11-07_14:07:59.298666
ED   23,99.00%,Simcha Felder,(Democratic),161,AD 41,2024-11-07_14:07:59.298666
ED   23,99.00%,Simcha Felder,(Republican),447,AD 41,2024-11-07_14:07:59.298666
ED   23,99.00%,Simcha Felder,(Conservative),42,AD 41,2024-11-07_14:07:59.298666
ED   23,99.00%,WRITE-IN,&nbsp,10,AD 41,2024-11-07_14:07:59.298666
ED   24,99.00%,Simcha Felder,(Democratic),236,AD 41,2024-11-07_14:07:59.298666
ED   24,99.00%,Simcha Felder,(Republican),404,AD 41,2024-11-07_14:07:59.298666
ED   24,99.00%,Simcha Felder,(Conservative),42,AD 41,2024-11-07_14:07:59.298666
ED   24,99.00%,WRITE-IN,&nbsp,11,AD 41,2024-11-07_14:07:59.298666
ED   25,99.00%,Simcha Felder,(Democratic),237,AD 41,2024-11-07_14:07:59.298666
ED   25,99.00%,Simcha Felder,(Republican),396,AD 41,2024-11-07_14:07:59.298666
ED   25,99.00%,Simcha Felder,(Conservative),39,AD 41,2024-11-07_14:07:59.298666
ED   25,99.00%,WRITE-IN,&nbsp,6,AD 41,2024-11-07_14:07:59.298666
ED   26,99.00%,Simcha Felder,(Democratic),261,AD 41,2024-11-07_14:07:59.298666
ED   26,99.00%,Simcha Felder,(Republican),437,AD 41,2024-11-07_14:07:59.298666
ED   26,99.00%,Simcha Felder,(Conservative),66,AD 41,2024-11-07_14:07:59.298666
ED   26,99.00%,WRITE-IN,&nbsp,21,AD 41,2024-11-07_14:07:59.298666
ED   27,99.00%,Simcha Felder,(Democratic),269,AD 41,2024-11-07_14:07:59.298666
ED   27,99.00%,Simcha Felder,(Republican),393,AD 41,2024-11-07_14:07:59.298666
ED   27,99.00%,Simcha Felder,(Conservative),34,AD 41,2024-11-07_14:07:59.298666
ED   27,99.00%,WRITE-IN,&nbsp,14,AD 41,2024-11-07_14:07:59.298666
ED   28,99.00%,Simcha Felder,(Democratic),175,AD 41,2024-11-07_14:07:59.298666
ED   28,99.00%,Simcha Felder,(Republican),346,AD 41,2024-11-07_14:07:59.298666
ED   28,99.00%,Simcha Felder,(Conservative),51,AD 41,2024-11-07_14:07:59.298666
ED   28,99.00%,WRITE-IN,&nbsp,9,AD 41,2024-11-07_14:07:59.298666
ED   29,99.00%,Simcha Felder,(Democratic),141,AD 41,2024-11-07_14:07:59.298666
ED   29,99.00%,Simcha Felder,(Republican),408,AD 41,2024-11-07_14:07:59.298666
ED   29,99.00%,Simcha Felder,(Conservative),37,AD 41,2024-11-07_14:07:59.298666
ED   29,99.00%,WRITE-IN,&nbsp,4,AD 41,2024-11-07_14:07:59.298666
ED   30,99.00%,Simcha Felder,(Democratic),143,AD 41,2024-11-07_14:07:59.298666
ED   30,99.00%,Simcha Felder,(Republican),435,AD 41,2024-11-07_14:07:59.298666
ED   30,99.00%,Simcha Felder,(Conservative),53,AD 41,2024-11-07_14:07:59.298666
ED   30,99.00%,WRITE-IN,&nbsp,1,AD 41,2024-11-07_14:07:59.298666
ED   31,99.00%,Simcha Felder,(Democratic),123,AD 41,2024-11-07_14:07:59.298666
