ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   38,99.00%,Jessica Scarcella-Spanton,(Democratic),68,AD 41,2024-11-07_14:08:02.315653
ED   38,99.00%,Marko Kepi,(Republican),86,AD 41,2024-11-07_14:08:02.315653
ED   38,99.00%,WRITE-IN,&nbsp,4,AD 41,2024-11-07_14:08:02.315653
ED   39,99.00%,Jessica Scarcella-Spanton,(Democratic),104,AD 41,2024-11-07_14:08:02.315653
ED   39,99.00%,Marko Kepi,(Republican),216,AD 41,2024-11-07_14:08:02.315653
ED   39,99.00%,WRITE-IN,&nbsp,0,AD 41,2024-11-07_14:08:02.315653
ED   49,99.00%,Jessica Scarcella-Spanton,(Democratic),388,AD 41,2024-11-07_14:08:02.315653
ED   49,99.00%,Marko Kepi,(Republican),107,AD 41,2024-11-07_14:08:02.315653
ED   49,99.00%,WRITE-IN,&nbsp,1,AD 41,2024-11-07_14:08:02.315653
ED   50,99.00%,Jessica Scarcella-Spanton,(Democratic),344,AD 41,2024-11-07_14:08:02.315653
ED   50,99.00%,Marko Kepi,(Republican),99,AD 41,2024-11-07_14:08:02.315653
ED   50,99.00%,WRITE-IN,&nbsp,1,AD 41,2024-11-07_14:08:02.315653
ED   51,99.00%,Jessica Scarcella-Spanton,(Democratic),229,AD 41,2024-11-07_14:08:02.315653
ED   51,99.00%,Marko Kepi,(Republican),44,AD 41,2024-11-07_14:08:02.315653
ED   51,99.00%,WRITE-IN,&nbsp,0,AD 41,2024-11-07_14:08:02.315653
ED   59,99.00%,Jessica Scarcella-Spanton,(Democratic),97,AD 41,2024-11-07_14:08:02.315653
ED   59,99.00%,Marko Kepi,(Republican),167,AD 41,2024-11-07_14:08:02.315653
ED   59,99.00%,WRITE-IN,&nbsp,1,AD 41,2024-11-07_14:08:02.315653
ED   60,99.00%,Jessica Scarcella-Spanton,(Democratic),115,AD 41,2024-11-07_14:08:02.315653
ED   60,99.00%,Marko Kepi,(Republican),242,AD 41,2024-11-07_14:08:02.315653
ED   60,99.00%,WRITE-IN,&nbsp,3,AD 41,2024-11-07_14:08:02.315653
ED   63,99.00%,Jessica Scarcella-Spanton,(Democratic),279,AD 41,2024-11-07_14:08:02.315653
ED   63,99.00%,Marko Kepi,(Republican),602,AD 41,2024-11-07_14:08:02.315653
ED   63,99.00%,WRITE-IN,&nbsp,2,AD 41,2024-11-07_14:08:02.315653
ED   64,99.00%,Jessica Scarcella-Spanton,(Democratic),243,AD 41,2024-11-07_14:08:02.315653
ED   64,99.00%,Marko Kepi,(Republican),473,AD 41,2024-11-07_14:08:02.315653
ED   64,99.00%,WRITE-IN,&nbsp,3,AD 41,2024-11-07_14:08:02.315653
