ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   17,99.00%,Andrew S. Gounardes,(Democratic),802,AD 44,2024-11-13_13:13:52.864598
ED   17,99.00%,Vito J. LaBella,(Republican),57,AD 44,2024-11-13_13:13:52.864598
ED   17,99.00%,Vito J. LaBella,(Conservative),12,AD 44,2024-11-13_13:13:52.864598
ED   17,99.00%,Andrew S. Gounardes,(Working Families),187,AD 44,2024-11-13_13:13:52.864598
ED   17,99.00%,WRITE-IN,&nbsp,2,AD 44,2024-11-13_13:13:52.864598
ED   18,99.00%,Andrew S. Gounardes,(Democratic),568,AD 44,2024-11-13_13:13:52.864598
ED   18,99.00%,Vito J. LaBella,(Republican),59,AD 44,2024-11-13_13:13:52.864598
ED   18,99.00%,Vito J. LaBella,(Conservative),17,AD 44,2024-11-13_13:13:52.864598
ED   18,99.00%,Andrew S. Gounardes,(Working Families),157,AD 44,2024-11-13_13:13:52.864598
ED   18,99.00%,WRITE-IN,&nbsp,1,AD 44,2024-11-13_13:13:52.864598
ED   19,99.00%,Andrew S. Gounardes,(Democratic),385,AD 44,2024-11-13_13:13:52.864598
ED   19,99.00%,Vito J. LaBella,(Republican),33,AD 44,2024-11-13_13:13:52.864598
ED   19,99.00%,Vito J. LaBella,(Conservative),6,AD 44,2024-11-13_13:13:52.864598
ED   19,99.00%,Andrew S. Gounardes,(Working Families),108,AD 44,2024-11-13_13:13:52.864598
ED   19,99.00%,WRITE-IN,&nbsp,2,AD 44,2024-11-13_13:13:52.864598
ED   20,99.00%,Andrew S. Gounardes,(Democratic),319,AD 44,2024-11-13_13:13:52.864598
ED   20,99.00%,Vito J. LaBella,(Republican),23,AD 44,2024-11-13_13:13:52.864598
ED   20,99.00%,Vito J. LaBella,(Conservative),4,AD 44,2024-11-13_13:13:52.864598
ED   20,99.00%,Andrew S. Gounardes,(Working Families),62,AD 44,2024-11-13_13:13:52.864598
ED   20,99.00%,WRITE-IN,&nbsp,1,AD 44,2024-11-13_13:13:52.864598
ED   21,99.00%,Andrew S. Gounardes,(Democratic),466,AD 44,2024-11-13_13:13:52.864598
ED   21,99.00%,Vito J. LaBella,(Republican),72,AD 44,2024-11-13_13:13:52.864598
ED   21,99.00%,Vito J. LaBella,(Conservative),11,AD 44,2024-11-13_13:13:52.864598
ED   21,99.00%,Andrew S. Gounardes,(Working Families),145,AD 44,2024-11-13_13:13:52.864598
ED   21,99.00%,WRITE-IN,&nbsp,1,AD 44,2024-11-13_13:13:52.864598
ED   22,99.00%,Andrew S. Gounardes,(Democratic),466,AD 44,2024-11-13_13:13:52.864598
ED   22,99.00%,Vito J. LaBella,(Republican),36,AD 44,2024-11-13_13:13:52.864598
ED   22,99.00%,Vito J. LaBella,(Conservative),7,AD 44,2024-11-13_13:13:52.864598
ED   22,99.00%,Andrew S. Gounardes,(Working Families),131,AD 44,2024-11-13_13:13:52.864598
ED   22,99.00%,WRITE-IN,&nbsp,1,AD 44,2024-11-13_13:13:52.864598
ED   73,88.89%,Andrew S. Gounardes,(Democratic),140,AD 44,2024-11-13_13:13:52.864598
ED   73,88.89%,Vito J. LaBella,(Republican),19,AD 44,2024-11-13_13:13:52.864598
ED   73,88.89%,Vito J. LaBella,(Conservative),3,AD 44,2024-11-13_13:13:52.864598
ED   73,88.89%,Andrew S. Gounardes,(Working Families),42,AD 44,2024-11-13_13:13:52.864598
ED   73,88.89%,WRITE-IN,&nbsp,0,AD 44,2024-11-13_13:13:52.864598
ED   77,88.89%,Andrew S. Gounardes,(Democratic),113,AD 44,2024-11-13_13:13:52.864598
ED   77,88.89%,Vito J. LaBella,(Republican),9,AD 44,2024-11-13_13:13:52.864598
