boro,reported,candidate,party,votes,scrape_time
New York,96.74%,Jose M. Serrano,(Democratic),23434,2024-11-07_14:08:12.203709
New York,96.74%,Tanya Carmichael,(Republican),5044,2024-11-07_14:08:12.203709
New York,96.74%,Tanya Carmichael,(Conservative),432,2024-11-07_14:08:12.203709
New York,96.74%,Jose M. Serrano,(Working Families),2025,2024-11-07_14:08:12.203709
New York,96.74%,WRITE-IN,,63,2024-11-07_14:08:12.203709
Bronx,97.79%,Jose M. Serrano,(Democratic),30272,2024-11-07_14:08:12.203709
Bronx,97.79%,Tanya Carmichael,(Republican),6745,2024-11-07_14:08:12.203709
Bronx,97.79%,Tanya Carmichael,(Conservative),737,2024-11-07_14:08:12.203709
Bronx,97.79%,Jose M. Serrano,(Working Families),2087,2024-11-07_14:08:12.203709
Bronx,97.79%,WRITE-IN,,75,2024-11-07_14:08:12.203709
Total,,Jose M. Serrano,(Democratic),53706,2024-11-07_14:08:12.203709
Total,,Tanya Carmichael,(Republican),11789,2024-11-07_14:08:12.203709
Total,,Tanya Carmichael,(Conservative),1169,2024-11-07_14:08:12.203709
Total,,Jose M. Serrano,(Working Families),4112,2024-11-07_14:08:12.203709
Total,,WRITE-IN,,138,2024-11-07_14:08:12.203709
