AD_num,reported,candidate,party,votes,scrape_time
AD   77,90.91%,J. Gustavo Rivera,(Democratic),1260,2024-11-13_13:14:05.261764
AD   77,90.91%,Dion J. Powell,(Republican),316,2024-11-13_13:14:05.261764
AD   77,90.91%,Dion J. Powell,(Conservative),19,2024-11-13_13:14:05.261764
AD   77,90.91%,J. Gustavo Rivera,(Working Families),60,2024-11-13_13:14:05.261764
AD   77,90.91%,WRITE-IN,,3,2024-11-13_13:14:05.261764
AD   78,96.97%,J. Gustavo Rivera,(Democratic),10913,2024-11-13_13:14:05.261764
AD   78,96.97%,Dion J. Powell,(Republican),3466,2024-11-13_13:14:05.261764
AD   78,96.97%,Dion J. Powell,(Conservative),302,2024-11-13_13:14:05.261764
AD   78,96.97%,J. Gustavo Rivera,(Working Families),893,2024-11-13_13:14:05.261764
AD   78,96.97%,WRITE-IN,,30,2024-11-13_13:14:05.261764
AD   80,98.53%,J. Gustavo Rivera,(Democratic),11048,2024-11-13_13:14:05.261764
AD   80,98.53%,Dion J. Powell,(Republican),4397,2024-11-13_13:14:05.261764
AD   80,98.53%,Dion J. Powell,(Conservative),390,2024-11-13_13:14:05.261764
AD   80,98.53%,J. Gustavo Rivera,(Working Families),881,2024-11-13_13:14:05.261764
AD   80,98.53%,WRITE-IN,,63,2024-11-13_13:14:05.261764
AD   81,95.74%,J. Gustavo Rivera,(Democratic),14395,2024-11-13_13:14:05.261764
AD   81,95.74%,Dion J. Powell,(Republican),4269,2024-11-13_13:14:05.261764
AD   81,95.74%,Dion J. Powell,(Conservative),447,2024-11-13_13:14:05.261764
AD   81,95.74%,J. Gustavo Rivera,(Working Families),1332,2024-11-13_13:14:05.261764
AD   81,95.74%,WRITE-IN,,68,2024-11-13_13:14:05.261764
AD   82,99.00%,J. Gustavo Rivera,(Democratic),403,2024-11-13_13:14:05.261764
AD   82,99.00%,Dion J. Powell,(Republican),287,2024-11-13_13:14:05.261764
AD   82,99.00%,Dion J. Powell,(Conservative),21,2024-11-13_13:14:05.261764
AD   82,99.00%,J. Gustavo Rivera,(Working Families),38,2024-11-13_13:14:05.261764
AD   82,99.00%,WRITE-IN,,2,2024-11-13_13:14:05.261764
AD   86,96.36%,J. Gustavo Rivera,(Democratic),6169,2024-11-13_13:14:05.261764
AD   86,96.36%,Dion J. Powell,(Republican),1936,2024-11-13_13:14:05.261764
AD   86,96.36%,Dion J. Powell,(Conservative),147,2024-11-13_13:14:05.261764
AD   86,96.36%,J. Gustavo Rivera,(Working Families),364,2024-11-13_13:14:05.261764
AD   86,96.36%,WRITE-IN,,19,2024-11-13_13:14:05.261764
AD   87,99.00%,J. Gustavo Rivera,(Democratic),50,2024-11-13_13:14:05.261764
AD   87,99.00%,Dion J. Powell,(Republican),22,2024-11-13_13:14:05.261764
AD   87,99.00%,Dion J. Powell,(Conservative),1,2024-11-13_13:14:05.261764
AD   87,99.00%,J. Gustavo Rivera,(Working Families),2,2024-11-13_13:14:05.261764
AD   87,99.00%,WRITE-IN,,0,2024-11-13_13:14:05.261764
Total,,J. Gustavo Rivera,(Democratic),44238,2024-11-13_13:14:05.261764
Total,,Dion J. Powell,(Republican),14693,2024-11-13_13:14:05.261764
Total,,Dion J. Powell,(Conservative),1327,2024-11-13_13:14:05.261764
Total,,J. Gustavo Rivera,(Working Families),3570,2024-11-13_13:14:05.261764
Total,,WRITE-IN,,185,2024-11-13_13:14:05.261764
