boro,reported,candidate,party,votes,scrape_time
Bronx,96.95%,J. Gustavo Rivera,(Democratic),44238,2024-11-13_13:14:05.261764
Bronx,96.95%,Dion J. Powell,(Republican),14693,2024-11-13_13:14:05.261764
Bronx,96.95%,Dion J. Powell,(Conservative),1327,2024-11-13_13:14:05.261764
Bronx,96.95%,J. Gustavo Rivera,(Working Families),3570,2024-11-13_13:14:05.261764
Bronx,96.95%,WRITE-IN,,185,2024-11-13_13:14:05.261764
Total,,J. Gustavo Rivera,(Democratic),44238,2024-11-13_13:14:05.261764
Total,,Dion J. Powell,(Republican),14693,2024-11-13_13:14:05.261764
Total,,Dion J. Powell,(Conservative),1327,2024-11-13_13:14:05.261764
Total,,J. Gustavo Rivera,(Working Families),3570,2024-11-13_13:14:05.261764
Total,,WRITE-IN,,185,2024-11-13_13:14:05.261764
