AD_num,reported,candidate,party,votes,scrape_time
AD   23,97.71%,Cassandra A. Johnson,(Democratic),18350,2024-11-07_14:16:17.256681
AD   23,97.71%,Stephen H. Weiner,(Republican),21642,2024-11-07_14:16:17.256681
AD   23,97.71%,Stephen H. Weiner,(Conservative/Common Sense),2048,2024-11-07_14:16:17.256681
AD   23,97.71%,WRITE-IN,,92,2024-11-07_14:16:17.256681
AD   24,96.80%,Cassandra A. Johnson,(Democratic),21451,2024-11-07_14:16:17.256681
AD   24,96.80%,Stephen H. Weiner,(Republican),12449,2024-11-07_14:16:17.256681
AD   24,96.80%,Stephen H. Weiner,(Conservative/Common Sense),1168,2024-11-07_14:16:17.256681
AD   24,96.80%,WRITE-IN,,168,2024-11-07_14:16:17.256681
AD   25,98.20%,Cassandra A. Johnson,(Democratic),14841,2024-11-07_14:16:17.256681
AD   25,98.20%,Stephen H. Weiner,(Republican),12804,2024-11-07_14:16:17.256681
AD   25,98.20%,Stephen H. Weiner,(Conservative/Common Sense),1118,2024-11-07_14:16:17.256681
AD   25,98.20%,WRITE-IN,,107,2024-11-07_14:16:17.256681
AD   26,97.20%,Cassandra A. Johnson,(Democratic),22380,2024-11-07_14:16:17.256681
AD   26,97.20%,Stephen H. Weiner,(Republican),19296,2024-11-07_14:16:17.256681
AD   26,97.20%,Stephen H. Weiner,(Conservative/Common Sense),2041,2024-11-07_14:16:17.256681
AD   26,97.20%,WRITE-IN,,88,2024-11-07_14:16:17.256681
AD   27,99.00%,Cassandra A. Johnson,(Democratic),16673,2024-11-07_14:16:17.256681
AD   27,99.00%,Stephen H. Weiner,(Republican),15989,2024-11-07_14:16:17.256681
AD   27,99.00%,Stephen H. Weiner,(Conservative/Common Sense),1307,2024-11-07_14:16:17.256681
AD   27,99.00%,WRITE-IN,,76,2024-11-07_14:16:17.256681
AD   28,98.40%,Cassandra A. Johnson,(Democratic),24480,2024-11-07_14:16:17.256681
AD   28,98.40%,Stephen H. Weiner,(Republican),18301,2024-11-07_14:16:17.256681
AD   28,98.40%,Stephen H. Weiner,(Conservative/Common Sense),1658,2024-11-07_14:16:17.256681
AD   28,98.40%,WRITE-IN,,79,2024-11-07_14:16:17.256681
AD   29,99.00%,Cassandra A. Johnson,(Democratic),34377,2024-11-07_14:16:17.256681
AD   29,99.00%,Stephen H. Weiner,(Republican),5012,2024-11-07_14:16:17.256681
AD   29,99.00%,Stephen H. Weiner,(Conservative/Common Sense),551,2024-11-07_14:16:17.256681
AD   29,99.00%,WRITE-IN,,128,2024-11-07_14:16:17.256681
AD   30,97.09%,Cassandra A. Johnson,(Democratic),15900,2024-11-07_14:16:17.256681
AD   30,97.09%,Stephen H. Weiner,(Republican),10776,2024-11-07_14:16:17.256681
AD   30,97.09%,Stephen H. Weiner,(Conservative/Common Sense),959,2024-11-07_14:16:17.256681
AD   30,97.09%,WRITE-IN,,97,2024-11-07_14:16:17.256681
AD   31,98.40%,Cassandra A. Johnson,(Democratic),24200,2024-11-07_14:16:17.256681
AD   31,98.40%,Stephen H. Weiner,(Republican),5338,2024-11-07_14:16:17.256681
AD   31,98.40%,Stephen H. Weiner,(Conservative/Common Sense),589,2024-11-07_14:16:17.256681
AD   31,98.40%,WRITE-IN,,70,2024-11-07_14:16:17.256681
AD   32,98.96%,Cassandra A. Johnson,(Democratic),29074,2024-11-07_14:16:17.256681
AD   32,98.96%,Stephen H. Weiner,(Republican),4694,2024-11-07_14:16:17.256681
AD   32,98.96%,Stephen H. Weiner,(Conservative/Common Sense),518,2024-11-07_14:16:17.256681
AD   32,98.96%,WRITE-IN,,84,2024-11-07_14:16:17.256681
AD   33,93.62%,Cassandra A. Johnson,(Democratic),34084,2024-11-07_14:16:17.256681
AD   33,93.62%,Stephen H. Weiner,(Republican),7989,2024-11-07_14:16:17.256681
AD   33,93.62%,Stephen H. Weiner,(Conservative/Common Sense),852,2024-11-07_14:16:17.256681
AD   33,93.62%,WRITE-IN,,162,2024-11-07_14:16:17.256681
AD   34,93.88%,Cassandra A. Johnson,(Democratic),20083,2024-11-07_14:16:17.256681
AD   34,93.88%,Stephen H. Weiner,(Republican),10898,2024-11-07_14:16:17.256681
AD   34,93.88%,Stephen H. Weiner,(Conservative/Common Sense),961,2024-11-07_14:16:17.256681
AD   34,93.88%,WRITE-IN,,128,2024-11-07_14:16:17.256681
AD   35,99.00%,Cassandra A. Johnson,(Democratic),14500,2024-11-07_14:16:17.256681
AD   35,99.00%,Stephen H. Weiner,(Republican),8976,2024-11-07_14:16:17.256681
AD   35,99.00%,Stephen H. Weiner,(Conservative/Common Sense),748,2024-11-07_14:16:17.256681
AD   35,99.00%,WRITE-IN,,51,2024-11-07_14:16:17.256681
AD   36,99.00%,Cassandra A. Johnson,(Democratic),30867,2024-11-07_14:16:17.256681
AD   36,99.00%,Stephen H. Weiner,(Republican),9096,2024-11-07_14:16:17.256681
AD   36,99.00%,Stephen H. Weiner,(Conservative/Common Sense),989,2024-11-07_14:16:17.256681
AD   36,99.00%,WRITE-IN,,148,2024-11-07_14:16:17.256681
AD   37,98.25%,Cassandra A. Johnson,(Democratic),26200,2024-11-07_14:16:17.256681
AD   37,98.25%,Stephen H. Weiner,(Republican),11416,2024-11-07_14:16:17.256681
AD   37,98.25%,Stephen H. Weiner,(Conservative/Common Sense),1246,2024-11-07_14:16:17.256681
AD   37,98.25%,WRITE-IN,,118,2024-11-07_14:16:17.256681
AD   38,97.73%,Cassandra A. Johnson,(Democratic),17184,2024-11-07_14:16:17.256681
AD   38,97.73%,Stephen H. Weiner,(Republican),10648,2024-11-07_14:16:17.256681
AD   38,97.73%,Stephen H. Weiner,(Conservative/Common Sense),1192,2024-11-07_14:16:17.256681
AD   38,97.73%,WRITE-IN,,93,2024-11-07_14:16:17.256681
AD   39,94.95%,Cassandra A. Johnson,(Democratic),14859,2024-11-07_14:16:17.256681
AD   39,94.95%,Stephen H. Weiner,(Republican),9546,2024-11-07_14:16:17.256681
AD   39,94.95%,Stephen H. Weiner,(Conservative/Common Sense),833,2024-11-07_14:16:17.256681
AD   39,94.95%,WRITE-IN,,80,2024-11-07_14:16:17.256681
AD   40,96.83%,Cassandra A. Johnson,(Democratic),11026,2024-11-07_14:16:17.256681
AD   40,96.83%,Stephen H. Weiner,(Republican),9897,2024-11-07_14:16:17.256681
AD   40,96.83%,Stephen H. Weiner,(Conservative/Common Sense),823,2024-11-07_14:16:17.256681
AD   40,96.83%,WRITE-IN,,47,2024-11-07_14:16:17.256681
Total,,Cassandra A. Johnson,(Democratic),390529,2024-11-07_14:16:17.256681
Total,,Stephen H. Weiner,(Republican),204767,2024-11-07_14:16:17.256681
Total,,Stephen H. Weiner,(Conservative/Common Sense),19601,2024-11-07_14:16:17.256681
Total,,WRITE-IN,,1816,2024-11-07_14:16:17.256681
