AD_num,reported,candidate,party,votes,scrape_time
AD   23,97.71%,Kirsten E. Gillibrand,(Democratic),18580,2024-11-07_14:16:03.902758
AD   23,97.71%,Michael D. Sapraicone,(Republican),21533,2024-11-07_14:16:03.902758
AD   23,97.71%,Michael D. Sapraicone,(Conservative),1704,2024-11-07_14:16:03.902758
AD   23,97.71%,Kirsten E. Gillibrand,(Working Families),1406,2024-11-07_14:16:03.902758
AD   23,97.71%,Diane Sare,(LaRouche),172,2024-11-07_14:16:03.902758
AD   23,97.71%,WRITE-IN,,87,2024-11-07_14:16:03.902758
AD   24,96.80%,Kirsten E. Gillibrand,(Democratic),21610,2024-11-07_14:16:03.902758
AD   24,96.80%,Michael D. Sapraicone,(Republican),12320,2024-11-07_14:16:03.902758
AD   24,96.80%,Michael D. Sapraicone,(Conservative),822,2024-11-07_14:16:03.902758
AD   24,96.80%,Kirsten E. Gillibrand,(Working Families),1344,2024-11-07_14:16:03.902758
AD   24,96.80%,Diane Sare,(LaRouche),306,2024-11-07_14:16:03.902758
AD   24,96.80%,WRITE-IN,,158,2024-11-07_14:16:03.902758
AD   25,98.20%,Kirsten E. Gillibrand,(Democratic),15309,2024-11-07_14:16:03.902758
AD   25,98.20%,Michael D. Sapraicone,(Republican),12577,2024-11-07_14:16:03.902758
AD   25,98.20%,Michael D. Sapraicone,(Conservative),811,2024-11-07_14:16:03.902758
AD   25,98.20%,Kirsten E. Gillibrand,(Working Families),1183,2024-11-07_14:16:03.902758
AD   25,98.20%,Diane Sare,(LaRouche),187,2024-11-07_14:16:03.902758
AD   25,98.20%,WRITE-IN,,110,2024-11-07_14:16:03.902758
AD   26,97.20%,Kirsten E. Gillibrand,(Democratic),23556,2024-11-07_14:16:03.902758
AD   26,97.20%,Michael D. Sapraicone,(Republican),18837,2024-11-07_14:16:03.902758
AD   26,97.20%,Michael D. Sapraicone,(Conservative),1597,2024-11-07_14:16:03.902758
AD   26,97.20%,Kirsten E. Gillibrand,(Working Families),1472,2024-11-07_14:16:03.902758
AD   26,97.20%,Diane Sare,(LaRouche),229,2024-11-07_14:16:03.902758
AD   26,97.20%,WRITE-IN,,78,2024-11-07_14:16:03.902758
AD   27,99.00%,Kirsten E. Gillibrand,(Democratic),16243,2024-11-07_14:16:03.902758
AD   27,99.00%,Michael D. Sapraicone,(Republican),16422,2024-11-07_14:16:03.902758
AD   27,99.00%,Michael D. Sapraicone,(Conservative),1085,2024-11-07_14:16:03.902758
AD   27,99.00%,Kirsten E. Gillibrand,(Working Families),1284,2024-11-07_14:16:03.902758
AD   27,99.00%,Diane Sare,(LaRouche),153,2024-11-07_14:16:03.902758
AD   27,99.00%,WRITE-IN,,72,2024-11-07_14:16:03.902758
AD   28,98.40%,Kirsten E. Gillibrand,(Democratic),24032,2024-11-07_14:16:03.902758
AD   28,98.40%,Michael D. Sapraicone,(Republican),17868,2024-11-07_14:16:03.902758
AD   28,98.40%,Michael D. Sapraicone,(Conservative),1239,2024-11-07_14:16:03.902758
AD   28,98.40%,Kirsten E. Gillibrand,(Working Families),2757,2024-11-07_14:16:03.902758
AD   28,98.40%,Diane Sare,(LaRouche),268,2024-11-07_14:16:03.902758
AD   28,98.40%,WRITE-IN,,96,2024-11-07_14:16:03.902758
AD   29,99.00%,Kirsten E. Gillibrand,(Democratic),34200,2024-11-07_14:16:03.902758
AD   29,99.00%,Michael D. Sapraicone,(Republican),5036,2024-11-07_14:16:03.902758
AD   29,99.00%,Michael D. Sapraicone,(Conservative),404,2024-11-07_14:16:03.902758
AD   29,99.00%,Kirsten E. Gillibrand,(Working Families),984,2024-11-07_14:16:03.902758
AD   29,99.00%,Diane Sare,(LaRouche),179,2024-11-07_14:16:03.902758
AD   29,99.00%,WRITE-IN,,132,2024-11-07_14:16:03.902758
AD   30,97.09%,Kirsten E. Gillibrand,(Democratic),15704,2024-11-07_14:16:03.902758
AD   30,97.09%,Michael D. Sapraicone,(Republican),10725,2024-11-07_14:16:03.902758
AD   30,97.09%,Michael D. Sapraicone,(Conservative),654,2024-11-07_14:16:03.902758
AD   30,97.09%,Kirsten E. Gillibrand,(Working Families),1727,2024-11-07_14:16:03.902758
AD   30,97.09%,Diane Sare,(LaRouche),262,2024-11-07_14:16:03.902758
AD   30,97.09%,WRITE-IN,,102,2024-11-07_14:16:03.902758
AD   31,98.40%,Kirsten E. Gillibrand,(Democratic),24070,2024-11-07_14:16:03.902758
AD   31,98.40%,Michael D. Sapraicone,(Republican),5340,2024-11-07_14:16:03.902758
