boro,reported,candidate,party,votes,scrape_time
New York,97.25%,Kirsten E. Gillibrand,(Democratic),437463,2024-11-13_13:12:22.116319
New York,97.25%,Michael D. Sapraicone,(Republican),90283,2024-11-13_13:12:22.116319
New York,97.25%,Michael D. Sapraicone,(Conservative),6773,2024-11-13_13:12:22.116319
New York,97.25%,Kirsten E. Gillibrand,(Working Families),37656,2024-11-13_13:12:22.116319
New York,97.25%,Diane Sare,(LaRouche),3379,2024-11-13_13:12:22.116319
New York,97.25%,WRITE-IN,,1611,2024-11-13_13:12:22.116319
Bronx,97.60%,Kirsten E. Gillibrand,(Democratic),229532,2024-11-13_13:12:22.116319
Bronx,97.60%,Michael D. Sapraicone,(Republican),69267,2024-11-13_13:12:22.116319
Bronx,97.60%,Michael D. Sapraicone,(Conservative),6014,2024-11-13_13:12:22.116319
Bronx,97.60%,Kirsten E. Gillibrand,(Working Families),14440,2024-11-13_13:12:22.116319
Bronx,97.60%,Diane Sare,(LaRouche),2231,2024-11-13_13:12:22.116319
Bronx,97.60%,WRITE-IN,,750,2024-11-13_13:12:22.116319
Kings,97.95%,Kirsten E. Gillibrand,(Democratic),488707,2024-11-13_13:12:22.116319
Kings,97.95%,Michael D. Sapraicone,(Republican),166993,2024-11-13_13:12:22.116319
Kings,97.95%,Michael D. Sapraicone,(Conservative),15667,2024-11-13_13:12:22.116319
Kings,97.95%,Kirsten E. Gillibrand,(Working Families),69860,2024-11-13_13:12:22.116319
Kings,97.95%,Diane Sare,(LaRouche),4950,2024-11-13_13:12:22.116319
Kings,97.95%,WRITE-IN,,3183,2024-11-13_13:12:22.116319
Queens,97.65%,Kirsten E. Gillibrand,(Democratic),382609,2024-11-13_13:12:22.116319
Queens,97.65%,Michael D. Sapraicone,(Republican),203551,2024-11-13_13:12:22.116319
Queens,97.65%,Michael D. Sapraicone,(Conservative),14816,2024-11-13_13:12:22.116319
Queens,97.65%,Kirsten E. Gillibrand,(Working Families),34950,2024-11-13_13:12:22.116319
Queens,97.65%,Diane Sare,(LaRouche),4006,2024-11-13_13:12:22.116319
Queens,97.65%,WRITE-IN,,1976,2024-11-13_13:12:22.116319
Richmond,97.22%,Kirsten E. Gillibrand,(Democratic),65238,2024-11-13_13:12:22.116319
Richmond,97.22%,Michael D. Sapraicone,(Republican),108792,2024-11-13_13:12:22.116319
Richmond,97.22%,Michael D. Sapraicone,(Conservative),7692,2024-11-13_13:12:22.116319
Richmond,97.22%,Kirsten E. Gillibrand,(Working Families),5378,2024-11-13_13:12:22.116319
Richmond,97.22%,Diane Sare,(LaRouche),959,2024-11-13_13:12:22.116319
Richmond,97.22%,WRITE-IN,,555,2024-11-13_13:12:22.116319
Total,,Kirsten E. Gillibrand,(Democratic),1603549,2024-11-13_13:12:22.116319
Total,,Michael D. Sapraicone,(Republican),638886,2024-11-13_13:12:22.116319
Total,,Michael D. Sapraicone,(Conservative),50962,2024-11-13_13:12:22.116319
Total,,Kirsten E. Gillibrand,(Working Families),162284,2024-11-13_13:12:22.116319
Total,,Diane Sare,(LaRouche),15525,2024-11-13_13:12:22.116319
Total,,WRITE-IN,,8075,2024-11-13_13:12:22.116319
