ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Kirsten E. Gillibrand,(Democratic),269,AD 23,2024-11-13_13:12:22.116319
ED    1,99.00%,Michael D. Sapraicone,(Republican),795,AD 23,2024-11-13_13:12:22.116319
ED    1,99.00%,Michael D. Sapraicone,(Conservative),147,AD 23,2024-11-13_13:12:22.116319
ED    1,99.00%,Kirsten E. Gillibrand,(Working Families),18,AD 23,2024-11-13_13:12:22.116319
ED    1,99.00%,Diane Sare,(LaRouche),3,AD 23,2024-11-13_13:12:22.116319
ED    1,99.00%,WRITE-IN,&nbsp,2,AD 23,2024-11-13_13:12:22.116319
ED    2,99.00%,Kirsten E. Gillibrand,(Democratic),265,AD 23,2024-11-13_13:12:22.116319
ED    2,99.00%,Michael D. Sapraicone,(Republican),729,AD 23,2024-11-13_13:12:22.116319
ED    2,99.00%,Michael D. Sapraicone,(Conservative),114,AD 23,2024-11-13_13:12:22.116319
ED    2,99.00%,Kirsten E. Gillibrand,(Working Families),36,AD 23,2024-11-13_13:12:22.116319
ED    2,99.00%,Diane Sare,(LaRouche),2,AD 23,2024-11-13_13:12:22.116319
ED    2,99.00%,WRITE-IN,&nbsp,0,AD 23,2024-11-13_13:12:22.116319
ED    3,99.00%,Kirsten E. Gillibrand,(Democratic),96,AD 23,2024-11-13_13:12:22.116319
ED    3,99.00%,Michael D. Sapraicone,(Republican),261,AD 23,2024-11-13_13:12:22.116319
ED    3,99.00%,Michael D. Sapraicone,(Conservative),31,AD 23,2024-11-13_13:12:22.116319
ED    3,99.00%,Kirsten E. Gillibrand,(Working Families),8,AD 23,2024-11-13_13:12:22.116319
ED    3,99.00%,Diane Sare,(LaRouche),2,AD 23,2024-11-13_13:12:22.116319
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 23,2024-11-13_13:12:22.116319
ED    4,99.00%,Kirsten E. Gillibrand,(Democratic),350,AD 23,2024-11-13_13:12:22.116319
ED    4,99.00%,Michael D. Sapraicone,(Republican),730,AD 23,2024-11-13_13:12:22.116319
ED    4,99.00%,Michael D. Sapraicone,(Conservative),62,AD 23,2024-11-13_13:12:22.116319
ED    4,99.00%,Kirsten E. Gillibrand,(Working Families),20,AD 23,2024-11-13_13:12:22.116319
ED    4,99.00%,Diane Sare,(LaRouche),1,AD 23,2024-11-13_13:12:22.116319
ED    4,99.00%,WRITE-IN,&nbsp,0,AD 23,2024-11-13_13:12:22.116319
ED    5,99.00%,Kirsten E. Gillibrand,(Democratic),311,AD 23,2024-11-13_13:12:22.116319
ED    5,99.00%,Michael D. Sapraicone,(Republican),795,AD 23,2024-11-13_13:12:22.116319
ED    5,99.00%,Michael D. Sapraicone,(Conservative),54,AD 23,2024-11-13_13:12:22.116319
ED    5,99.00%,Kirsten E. Gillibrand,(Working Families),29,AD 23,2024-11-13_13:12:22.116319
ED    5,99.00%,Diane Sare,(LaRouche),1,AD 23,2024-11-13_13:12:22.116319
ED    5,99.00%,WRITE-IN,&nbsp,1,AD 23,2024-11-13_13:12:22.116319
ED    6,99.00%,Kirsten E. Gillibrand,(Democratic),345,AD 23,2024-11-13_13:12:22.116319
ED    6,99.00%,Michael D. Sapraicone,(Republican),712,AD 23,2024-11-13_13:12:22.116319
ED    6,99.00%,Michael D. Sapraicone,(Conservative),69,AD 23,2024-11-13_13:12:22.116319
ED    6,99.00%,Kirsten E. Gillibrand,(Working Families),27,AD 23,2024-11-13_13:12:22.116319
ED    6,99.00%,Diane Sare,(LaRouche),3,AD 23,2024-11-13_13:12:22.116319
ED    6,99.00%,WRITE-IN,&nbsp,1,AD 23,2024-11-13_13:12:22.116319
ED    7,99.00%,Kirsten E. Gillibrand,(Democratic),420,AD 23,2024-11-13_13:12:22.116319
ED    7,99.00%,Michael D. Sapraicone,(Republican),737,AD 23,2024-11-13_13:12:22.116319
ED    7,99.00%,Michael D. Sapraicone,(Conservative),58,AD 23,2024-11-13_13:12:22.116319
ED    7,99.00%,Kirsten E. Gillibrand,(Working Families),23,AD 23,2024-11-13_13:12:22.116319
ED    7,99.00%,Diane Sare,(LaRouche),1,AD 23,2024-11-13_13:12:22.116319
ED    7,99.00%,WRITE-IN,&nbsp,1,AD 23,2024-11-13_13:12:22.116319
ED    8,99.00%,Kirsten E. Gillibrand,(Democratic),389,AD 23,2024-11-13_13:12:22.116319
ED    8,99.00%,Michael D. Sapraicone,(Republican),463,AD 23,2024-11-13_13:12:22.116319
ED    8,99.00%,Michael D. Sapraicone,(Conservative),44,AD 23,2024-11-13_13:12:22.116319
ED    8,99.00%,Kirsten E. Gillibrand,(Working Families),55,AD 23,2024-11-13_13:12:22.116319
ED    8,99.00%,Diane Sare,(LaRouche),6,AD 23,2024-11-13_13:12:22.116319
ED    8,99.00%,WRITE-IN,&nbsp,0,AD 23,2024-11-13_13:12:22.116319
ED    9,99.00%,Kirsten E. Gillibrand,(Democratic),294,AD 23,2024-11-13_13:12:22.116319
ED    9,99.00%,Michael D. Sapraicone,(Republican),237,AD 23,2024-11-13_13:12:22.116319
ED    9,99.00%,Michael D. Sapraicone,(Conservative),23,AD 23,2024-11-13_13:12:22.116319
ED    9,99.00%,Kirsten E. Gillibrand,(Working Families),50,AD 23,2024-11-13_13:12:22.116319
ED    9,99.00%,Diane Sare,(LaRouche),4,AD 23,2024-11-13_13:12:22.116319
ED    9,99.00%,WRITE-IN,&nbsp,3,AD 23,2024-11-13_13:12:22.116319
ED   10,85.71%,Kirsten E. Gillibrand,(Democratic),434,AD 23,2024-11-13_13:12:22.116319
ED   10,85.71%,Michael D. Sapraicone,(Republican),600,AD 23,2024-11-13_13:12:22.116319
ED   10,85.71%,Michael D. Sapraicone,(Conservative),50,AD 23,2024-11-13_13:12:22.116319
ED   10,85.71%,Kirsten E. Gillibrand,(Working Families),42,AD 23,2024-11-13_13:12:22.116319
ED   10,85.71%,Diane Sare,(LaRouche),2,AD 23,2024-11-13_13:12:22.116319
ED   10,85.71%,WRITE-IN,&nbsp,1,AD 23,2024-11-13_13:12:22.116319
