AD_num,reported,candidate,party,votes
AD   23,97.71%,YES,,21245
AD   23,97.71%,NO,,19905
AD   24,96.80%,YES,,24052
AD   24,96.80%,NO,,8167
AD   25,98.20%,YES,,18276
AD   25,98.20%,NO,,9485
AD   26,97.20%,YES,,26352
AD   26,97.20%,NO,,16227
AD   27,99.00%,YES,,18979
AD   27,99.00%,NO,,13161
AD   28,98.40%,YES,,28787
AD   28,98.40%,NO,,14267
AD   29,99.00%,YES,,33422
AD   29,99.00%,NO,,4230
AD   30,97.09%,YES,,19478
AD   30,97.09%,NO,,6343
AD   31,98.40%,YES,,24336
AD   31,98.40%,NO,,3741
AD   32,98.96%,YES,,29022
AD   32,98.96%,NO,,3358
AD   33,93.62%,YES,,33478
AD   33,93.62%,NO,,6438
AD   34,93.88%,YES,,23924
AD   34,93.88%,NO,,6671
AD   35,99.00%,YES,,17102
AD   35,99.00%,NO,,5110
AD   36,99.00%,YES,,34520
AD   36,99.00%,NO,,6364
AD   37,98.35%,YES,,30251
AD   37,98.35%,NO,,7980
AD   38,97.73%,YES,,20650
AD   38,97.73%,NO,,6918
AD   39,94.95%,YES,,17783
AD   39,94.95%,NO,,5579
AD   40,96.83%,YES,,14040
AD   40,96.83%,NO,,6719
AD   41,96.83%,YES,,19156
AD   41,96.83%,NO,,13304
AD   42,97.00%,YES,,28579
AD   42,97.00%,NO,,5012
AD   43,99.00%,YES,,35472
AD   43,99.00%,NO,,6280
AD   44,96.67%,YES,,41430
AD   44,96.67%,NO,,6719
AD   45,98.92%,YES,,9924
AD   45,98.92%,NO,,14023
AD   46,95.08%,YES,,19164
AD   46,95.08%,NO,,12117
AD   47,99.00%,YES,,12292
AD   47,99.00%,NO,,9179
AD   48,98.78%,YES,,5666
AD   48,98.78%,NO,,19554
AD   49,98.75%,YES,,9841
AD   49,98.75%,NO,,6814
AD   50,99.00%,YES,,32253
AD   50,99.00%,NO,,8050
AD   51,95.79%,YES,,20060
AD   51,95.79%,NO,,3940
AD   52,99.00%,YES,,55253
AD   52,99.00%,NO,,5350
AD   53,99.00%,YES,,29776
AD   53,99.00%,NO,,3459
AD   54,97.83%,YES,,19685
AD   54,97.83%,NO,,2766
AD   55,98.96%,YES,,23240
AD   55,98.96%,NO,,1989
AD   56,98.15%,YES,,34581
AD   56,98.15%,NO,,2573
AD   57,98.46%,YES,,43712
AD   57,98.46%,NO,,3484
AD   58,98.47%,YES,,29180
AD   58,98.47%,NO,,2308
AD   59,98.17%,YES,,24886
AD   59,98.17%,NO,,9653
AD   60,96.30%,YES,,23955
AD   60,96.30%,NO,,2419
AD   61,96.27%,YES,,28332
AD   61,96.27%,NO,,10792
AD   62,99.00%,YES,,22776
AD   62,99.00%,NO,,37127
AD   63,99.00%,YES,,25788
AD   63,99.00%,NO,,20411
AD   64,97.83%,YES,,23148
AD   64,97.83%,NO,,24242
AD   65,97.17%,YES,,29660
AD   65,97.17%,NO,,5896
AD   66,99.00%,YES,,44857
AD   66,99.00%,NO,,6680
AD   67,98.10%,YES,,48055
AD   67,98.10%,NO,,7883
AD   68,96.04%,YES,,28591
AD   68,96.04%,NO,,4024
AD   69,94.51%,YES,,46808
AD   69,94.51%,NO,,5392
AD   70,98.08%,YES,,39711
AD   70,98.08%,NO,,3405
AD   71,98.23%,YES,,35216
AD   71,98.23%,NO,,4070
AD   72,94.57%,YES,,25762
AD   72,94.57%,NO,,4608
AD   73,97.20%,YES,,42236
AD   73,97.20%,NO,,11550
AD   74,99.00%,YES,,40032
AD   74,99.00%,NO,,6803
AD   75,97.17%,YES,,40364
AD   75,97.17%,NO,,6199
AD   76,94.83%,YES,,45482
AD   76,94.83%,NO,,9806
AD   77,95.60%,YES,,19042
AD   77,95.60%,NO,,2951
AD   78,97.62%,YES,,17935
AD   78,97.62%,NO,,3421
AD   79,98.89%,YES,,20035
AD   79,98.89%,NO,,3186
AD   80,98.86%,YES,,22621
AD   80,98.86%,NO,,5926
AD   81,97.37%,YES,,29204
AD   81,97.37%,NO,,7406
AD   82,98.84%,YES,,29723
AD   82,98.84%,NO,,10780
AD   83,97.56%,YES,,28135
AD   83,97.56%,NO,,2819
AD   84,98.94%,YES,,20603
AD   84,98.94%,NO,,3583
AD   85,96.55%,YES,,21398
AD   85,96.55%,NO,,3712
AD   86,97.67%,YES,,17469
AD   86,97.67%,NO,,3106
AD   87,98.61%,YES,,23474
AD   87,98.61%,NO,,3841
Total,,YES,,1770259
Total,,NO,,509275
