ED_num,reported,candidate,party,votes,AD_num
ED    1,99.00%,YES,&nbsp,282,AD 23
ED    1,99.00%,NO,&nbsp,928,AD 23
ED    2,99.00%,YES,&nbsp,277,AD 23
ED    2,99.00%,NO,&nbsp,864,AD 23
ED    3,99.00%,YES,&nbsp,101,AD 23
ED    3,99.00%,NO,&nbsp,298,AD 23
ED    4,99.00%,YES,&nbsp,379,AD 23
ED    4,99.00%,NO,&nbsp,745,AD 23
ED    5,99.00%,YES,&nbsp,329,AD 23
ED    5,99.00%,NO,&nbsp,842,AD 23
ED    6,99.00%,YES,&nbsp,357,AD 23
ED    6,99.00%,NO,&nbsp,781,AD 23
ED    7,99.00%,YES,&nbsp,428,AD 23
ED    7,99.00%,NO,&nbsp,800,AD 23
ED    8,99.00%,YES,&nbsp,437,AD 23
ED    8,99.00%,NO,&nbsp,495,AD 23
ED    9,99.00%,YES,&nbsp,349,AD 23
ED    9,99.00%,NO,&nbsp,249,AD 23
ED   10,85.71%,YES,&nbsp,478,AD 23
ED   10,85.71%,NO,&nbsp,610,AD 23
ED   11,85.71%,YES,&nbsp,579,AD 23
ED   11,85.71%,NO,&nbsp,197,AD 23
ED   12,99.00%,YES,&nbsp,187,AD 23
ED   12,99.00%,NO,&nbsp,71,AD 23
ED   13,99.00%,YES,&nbsp,501,AD 23
ED   13,99.00%,NO,&nbsp,213,AD 23
ED   14,99.00%,YES,&nbsp,390,AD 23
ED   14,99.00%,NO,&nbsp,227,AD 23
ED   15,99.00%,YES,&nbsp,508,AD 23
ED   15,99.00%,NO,&nbsp,252,AD 23
ED   16,99.00%,YES,&nbsp,297,AD 23
ED   16,99.00%,NO,&nbsp,121,AD 23
ED   17,99.00%,YES,&nbsp,195,AD 23
ED   17,99.00%,NO,&nbsp,425,AD 23
ED   18,99.00%,YES,&nbsp,585,AD 23
ED   18,99.00%,NO,&nbsp,167,AD 23
ED   19,99.00%,YES,&nbsp,91,AD 23
ED   19,99.00%,NO,&nbsp,8,AD 23
ED   20,99.00%,YES,&nbsp,719,AD 23
ED   20,99.00%,NO,&nbsp,94,AD 23
ED   21,99.00%,YES,&nbsp,517,AD 23
ED   21,99.00%,NO,&nbsp,140,AD 23
ED   22,99.00%,YES,&nbsp,243,AD 23
ED   22,99.00%,NO,&nbsp,28,AD 23
ED   23,83.33%,YES,&nbsp,113,AD 23
ED   23,83.33%,NO,&nbsp,102,AD 23
