boro,reported,candidate,party,votes
New York,97.25%,Kamala D. Harris Tim Walz,(Democratic),451419
New York,97.25%,Donald J. Trump JD Vance,(Republican),96447
New York,97.25%,Donald J. Trump JD Vance,(Conservative),6681
New York,97.25%,Kamala D. Harris Tim Walz,(Working Families),30705
New York,97.25%,WRITE-IN,,11421
Bronx,97.60%,Kamala D. Harris Tim Walz,(Democratic),234487
Bronx,97.60%,Donald J. Trump JD Vance,(Republican),85028
Bronx,97.60%,Donald J. Trump JD Vance,(Conservative),6514
Bronx,97.60%,Kamala D. Harris Tim Walz,(Working Families),9898
Bronx,97.60%,WRITE-IN,,3956
Kings,97.95%,Kamala D. Harris Tim Walz,(Democratic),496323
Kings,97.95%,Donald J. Trump JD Vance,(Republican),203498
Kings,97.95%,Donald J. Trump JD Vance,(Conservative),15837
Kings,97.95%,Kamala D. Harris Tim Walz,(Working Families),55310
Kings,97.95%,WRITE-IN,,16741
Queens,97.65%,Kamala D. Harris Tim Walz,(Democratic),378672
Queens,97.65%,Donald J. Trump JD Vance,(Republican),232702
Queens,97.65%,Donald J. Trump JD Vance,(Conservative),15322
Queens,97.65%,Kamala D. Harris Tim Walz,(Working Families),25454
Queens,97.65%,WRITE-IN,,12722
Richmond,97.22%,Kamala D. Harris Tim Walz,(Democratic),62722
Richmond,97.22%,Donald J. Trump JD Vance,(Republican),116388
Richmond,97.22%,Donald J. Trump JD Vance,(Conservative),7877
Richmond,97.22%,Kamala D. Harris Tim Walz,(Working Families),3150
Richmond,97.22%,WRITE-IN,,2901
Total,,Kamala D. Harris Tim Walz,(Democratic),1623623
Total,,Donald J. Trump JD Vance,(Republican),734063
Total,,Donald J. Trump JD Vance,(Conservative),52231
Total,,Kamala D. Harris Tim Walz,(Working Families),124517
Total,,WRITE-IN,,47741
