level,race,href,link
By Summary,Mayor,OF11CY0PY1.html,https://enr.boenyc.gov/OF11CY0PY1.html
By AD,Mayor,CD26916ADI0.html,https://enr.boenyc.gov/CD26916ADI0.html
By Summary,Public Advocate,OF12CY0PY1.html,https://enr.boenyc.gov/OF12CY0PY1.html
By AD,Public Advocate,CD26915ADI0.html,https://enr.boenyc.gov/CD26915ADI0.html
By Summary,City Comptroller,OF13CY0PY1.html,https://enr.boenyc.gov/OF13CY0PY1.html
By AD,City Comptroller,CD26914ADI0.html,https://enr.boenyc.gov/CD26914ADI0.html
By Summary,District Attorney,OF14CY0PY1.html,https://enr.boenyc.gov/OF14CY0PY1.html
By AD,District Attorney,CD26944ADI0.html,https://enr.boenyc.gov/CD26944ADI0.html
By Summary,Judge of the Civil Court - County,OF16CY0PY1.html,https://enr.boenyc.gov/OF16CY0PY1.html
By AD,Judge of the Civil Court - County,OF16AD0PY1.html,https://enr.boenyc.gov/OF16AD0PY1.html
By Summary,Borough President,OF15CY0PY1.html,https://enr.boenyc.gov/OF15CY0PY1.html
By AD,Borough President,OF15AD0PY1.html,https://enr.boenyc.gov/OF15AD0PY1.html
By Summary,Member of the City Council,OF18CY0PY1.html,https://enr.boenyc.gov/OF18CY0PY1.html
By AD,Member of the City Council,OF18AD0PY1.html,https://enr.boenyc.gov/OF18AD0PY1.html
By Summary,Judge of the Civil Court - District,OF17CY0PY1.html,https://enr.boenyc.gov/OF17CY0PY1.html
By AD,Judge of the Civil Court - District,OF17AD0PY1.html,https://enr.boenyc.gov/OF17AD0PY1.html
By Summary,District Leader,OF120CY0PY1.html,https://enr.boenyc.gov/OF120CY0PY1.html
By AD,District Leader,OF120AD0PY1.html,https://enr.boenyc.gov/OF120AD0PY1.html
By Summary,Delegate to Judicial Convention,OF64CY0PY1.html,https://enr.boenyc.gov/OF64CY0PY1.html
By AD,Delegate to Judicial Convention,OF64AD0PY1.html,https://enr.boenyc.gov/OF64AD0PY1.html
By Summary,Alternate Delegate to the Judicial Convention,OF69CY0PY1.html,https://enr.boenyc.gov/OF69CY0PY1.html
By AD,Alternate Delegate to the Judicial Convention,OF69AD0PY1.html,https://enr.boenyc.gov/OF69AD0PY1.html
By Summary,County Committee,OF77CY0PY1.html,https://enr.boenyc.gov/OF77CY0PY1.html
By Summary,City Comptroller,OF13CY0PY2.html,https://enr.boenyc.gov/OF13CY0PY2.html
By AD,City Comptroller,CD26935ADI0.html,https://enr.boenyc.gov/CD26935ADI0.html
By Summary,Member of the City Council,OF18CY0PY2.html,https://enr.boenyc.gov/OF18CY0PY2.html
By AD,Member of the City Council,OF18AD0PY2.html,https://enr.boenyc.gov/OF18AD0PY2.html
By Summary,State Committee,OF119CY0PY2.html,https://enr.boenyc.gov/OF119CY0PY2.html
By AD,State Committee,OF119AD0PY2.html,https://enr.boenyc.gov/OF119AD0PY2.html
By Summary,District Leader,OF56CY0PY2.html,https://enr.boenyc.gov/OF56CY0PY2.html
By AD,District Leader,OF56AD0PY2.html,https://enr.boenyc.gov/OF56AD0PY2.html
By Summary,County Committee,OF76CY0PY2.html,https://enr.boenyc.gov/OF76CY0PY2.html
By Summary,County Committee,OF81CY0PY3.html,https://enr.boenyc.gov/OF81CY0PY3.html
New York,NA,C1.html,https://enr.boenyc.gov/C1.html
